, 11395
DIAPH1, 34
RPL12, 34
LGALS8, 34
SEC14L4, 34
COL18A1, 34
SPEG, 34
ADGRL2, 34
COPB1, 34
VNN1, 34
ZNFX1, 34
ALDH3A2, 33
AMDHD1, 33
FLNB, 33
DMGDH, 33
COPB2, 33
AKAP11, 33
SORD, 33
ACAA1, 33
CTSL, 33
PLXNB2, 32
GLG1, 32
LECT2, 32
ITGAV, 32
FGL1, 32
SMARCA5, 32
ACSM4, 32
FBN1, 32
XPOT, 32
VPS35, 32
BHMT2, 32
GPC3, 32
ARHGAP5, 32
ALCAM, 32
FUCA1, 32
KMT2D, 32
AQP9, 32
WDR1, 32
LGALS3BP, 32
KIAA1429, 32
USP34, 32
PARP14, 32
SERPINA4, 31
PLD3, 31
CD5L, 31
ZEB2, 31
TGFBR2, 31
TOP2B, 31
LRBA, 31
HSPA9, 31
MYH10, 31
LRPPRC, 31
TM9SF2, 31
UGCG, 31
RPS3, 31
ATP2A2, 31
LAMC1, 31
AKAP9, 30
TTPA, 30
AARS, 30
LYZ, 30
NCKAP1, 30
WWP1, 30
PLK2, 30
RPL3, 30
SPPL2A, 30
APOC3, 30
FBLN1, 30
SLCO2B1, 30
GNAS, 30
WDFY4, 30
LTBP4, 30
ACO1, 30
FAM120A, 30
TM9SF3, 30
HNRNPU, 30
NUMA1, 29
UGGT1, 29
RPL28, 29
GRN, 29
ARCN1, 29
UBXN4, 29
COL5A2, 29
HSD17B13, 29
GSN, 29
SPEN, 29
PGM1, 29
LGMN, 29
RPS11, 29
MTTP, 29
NBEAL1, 29
SERPINA5, 29
RPL35A, 29
HEXB, 29
ASCC3, 29
ATP5F1, 29
ARID1A, 28
MSN, 28
OAT, 28
CLUH, 28
POR, 28
SERINC3, 28
KLHL24, 28
TMEM30A, 28
USP24, 28
ACADL, 28
SLC2A2, 28
ARRDC3, 28
ASPN, 28
ACLY, 28
ANKRD50, 28
BZW1, 28
DLA-DQB1, 28
SETD2, 28
APOC2, 28
MDN1, 28
TMEM59, 28
ROCK1, 28
SEL1L, 28
TAGLN, 28
ACTR2, 28
VPS13B, 28
PTPRJ, 27
VCAN, 27
ERAP1, 27
MMP14, 27
OSGEPL1, 27
CYP7A1, 27
ACOX1, 27
FBXW2, 27
MDH1, 27
PHF3, 27
TOP1, 27
MET, 27
AGT, 27
EIF1, 27
WAPL, 27
ACO2, 27
BCLAF1, 27
SLC25A13, 27
SOD1, 27
ATP2B1, 27
MED13L, 27
AHCTF1, 27
KTN1, 27
ESD, 26
NF1, 26
ARHGAP35, 26
PDGFRA, 26
DHDH, 26
HGF, 26
SARAF, 26
IL17RA, 26
PSMD2, 26
MYO9A, 26
ZFHX3, 26
MARCO, 26
MX1, 26
DHTKD1, 26
SEPT7, 26
ICAM1, 26
STAT3, 26
VCL, 26
STT3B, 26
NOTCH1, 26
TRIP11, 26
WDFY3, 26
CGNL1, 26
LTBP2, 26
COMT, 26
MT2A, 26
ACOT13, 26
ACTR3, 25
ITPR2, 25
ACADSB, 25
MED13, 25
ARHGEF12, 25
UGT2A3, 25
TRANK1, 25
AFDN, 25
TGM2, 25
ADAMTSL2, 25
BCHE, 25
SULT1A1, 25
UBR5, 25
ANKRD17, 25
NFE2L2, 25
DMXL1, 25
KPNB1, 25
RBL2, 25
KMT2A, 25
SLC6A6, 25
NHLRC2, 25
PICALM, 25
DBI, 25
RDX, 25
MYL12B, 25
GABARAP, 25
MAPK6, 25
SLC6A1, 25
TRRAP, 24
PPP1CA, 24
BACH1, 24
NIPBL, 24
HMOX1, 24
TPR, 24
PPP2R5A, 24
MEGF6, 24
FBXL5, 24
EPAS1, 24
UCP2, 24
ALDH6A1, 24
STT3A, 24
PGD, 24
DDB1, 24
EFR3A, 24
NUP98, 24
PDCD6IP, 24
TPP1, 24
MFAP4, 24
CHD4, 24
SSFA2, 24
NFKBIA, 24
PAM, 24
TTC3, 24
CTSZ, 24
IREB2, 24
EP300, 24
SCARB2, 24
PPP1CB, 24
TGFBI, 24
NDUFS2, 24
STARD10, 24
CEP350, 24
TNC, 24
MYO9B, 24
RPL18, 24
DNAJC3, 23
LAMB2, 23
EIF4G3, 23
CD63, 23
FNDC3A, 23
KLKB1, 23
PIK3C2A, 23
PDE3B, 23
SEC24D, 23
CUL4A, 23
ODC1, 23
IPO5, 23
RPN1, 23
SMPDL3A, 23
SMC6, 23
MAOB, 23
ZFYVE16, 23
CAND1, 23
ATP11B, 23
FGL2, 23
FAT4, 23
PTPRK, 23
DDOST, 23
LRP5, 23
ARFGEF2, 23
AZGP1, 23
IDE, 23
SPG11, 23
KIAA1109, 23
ABCC9, 23
COL1A1, 23
GGCX, 23
RPL18A, 23
CCPG1, 23
ATF7IP, 23
UHMK1, 23
F10, 23
TJP1, 23
DENND4A, 23
MASP1, 22
TKT, 22
SRSF11, 22
LAMB1, 22
MCM6, 22
TUBA1B, 22
FDFT1, 22
WASHC5, 22
PNP, 22
ANKRD12, 22
SP3, 22
ECI2, 22
TUBB, 22
EMILIN1, 22
EIF5A, 22
RIC1, 22
BRWD1, 22
CYP2B6, 22
PPA1, 22
WDR11, 22
IGFBP4, 22
PRKCA, 22
ZFAND5, 22
IL1R1, 22
GUSB, 22
KIF13B, 22
CALU, 22
ACOT12, 22
COL6A1, 22
ATRN, 22
MORC3, 22
DOCK1, 22
SSR1, 22
PCYOX1, 22
ACAD11, 22
ANXA1, 22
ACP5, 22
ABCB11, 22
GPAM, 22
RPS18, 22
UROC1, 22
RIF1, 22
PPIB, 22
PLA2G7, 22
CLINT1, 21
PTGES3L-AARSD1, 21
PGRMC1, 21
SLC3A2, 21
HNRNPF, 21
LYST, 21
MMP19, 21
PEG3, 21
FKBP8, 21
NRP2, 21
SLC11A1, 21
RPL19, 21
TNS1, 21
SLC25A6, 21
ATF4, 21
CTH, 21
CEMIP, 21
ACSF2, 21
BPTF, 21
ASH1L, 21
DPP4, 21
SEC31A, 21
MAP4, 21
HSPA4, 21
MGEA5, 21
CA3, 21
AP2B1, 21
ZNF638, 21
