Gene	6SB
cfa-mir-151.MIMAT0006615	534.564066
cfa-mir-152.MIMAT0006738	51.162897
cfa-mir-153.MIMAT0009840	0.000000
cfa-mir-155.MIMAT0006671	77.626465
cfa-mir-15a.MIMAT0006647	7.056951
cfa-mir-15b.MIMAT0006676	12.349665
cfa-mir-16.MIMAT0006648	56.455611
cfa-mir-17.MIMAT0006649	0.000000
cfa-mir-181a.MIMAT0006707	5617.333284
cfa-mir-181b.MIMAT0006708	246.993298
cfa-mir-181c.MIMAT0006635	8.821189
cfa-mir-181d.MIMAT0006636	3.528476
cfa-mir-182.MIMAT0009841	40.577470
cfa-mir-183.MIMAT0006621	49.398660
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	5.292714
cfa-mir-1837.MIMAT0006630	0.000000
cfa-mir-1838.MIMAT0006644	1.764238
cfa-mir-1839.MIMAT0006677	0.000000
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	3.528476
cfa-mir-1841.MIMAT0006686	3.528476
cfa-mir-1842.MIMAT0006701	0.000000
cfa-mir-1843.MIMAT0006706	3.528476
cfa-mir-1844.MIMAT0006740	14.113903
cfa-mir-185.MIMAT0006660	26.463568
cfa-mir-186.MIMAT0006694	75.862227
cfa-mir-187.MIMAT0009843	0.000000
cfa-mir-188.MIMAT0009880	0.000000
cfa-mir-18a.MIMAT0009832	0.000000
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	0.000000
cfa-mir-190b.MIMAT0009873	0.000000
cfa-mir-191.MIMAT0006638	873.297731
cfa-mir-192.MIMAT0006632	6259.515858
cfa-mir-193a.MIMAT0006735	245.229060
cfa-mir-193b.MIMAT0006699	37.048995
cfa-mir-194.MIMAT0006681	735.687179
cfa-mir-195.MIMAT0006692	21.170854
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	0.000000
cfa-mir-197.MIMAT0006698	111.146984
cfa-mir-199.MIMAT0006642	405.774703
cfa-mir-19a.MIMAT0006650	0.000000
cfa-mir-19b.MIMAT0006652	1.764238
cfa-mir-200a.MIMAT0009865	67.041038
cfa-mir-200b.MIMAT0009864	1.764238
cfa-mir-200c.MIMAT0006664	5.292714
