Gene	2CW
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	0.000000
cfa-mir-190b.MIMAT0009873	1.724238
cfa-mir-191.MIMAT0006638	846.026120
cfa-mir-192.MIMAT0006632	3258.809850
cfa-mir-193a.MIMAT0006735	38.507982
cfa-mir-193b.MIMAT0006699	4.597968
cfa-mir-194.MIMAT0006681	514.972421
cfa-mir-195.MIMAT0006692	21.840348
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	0.574746
cfa-mir-197.MIMAT0006698	2.298984
cfa-mir-199.MIMAT0006642	336.801159
cfa-mir-19a.MIMAT0006650	0.000000
cfa-mir-19b.MIMAT0006652	2.298984
cfa-mir-200a.MIMAT0009865	31.611030
cfa-mir-200b.MIMAT0009864	0.000000
cfa-mir-200c.MIMAT0006664	0.000000
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	29.312046
cfa-mir-204.MIMAT0006598	17.817126
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.000000
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	18.391872
cfa-mir-20b.MIMAT0009830	0.000000
cfa-mir-21.MIMAT0006741	2002.989829
cfa-mir-210.MIMAT0009846	0.574746
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	0.000000
cfa-mir-214.MIMAT0009847	14.943396
cfa-mir-215.MIMAT0009848	3.448476
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	10.920174
cfa-mir-219-2.MIMAT0006729	0.574746
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	1590.322197
cfa-mir-221.MIMAT0006757	63.796807
cfa-mir-222.MIMAT0009851	254.037734
cfa-mir-223.MIMAT0009852	1.724238
cfa-mir-224.MIMAT0006744	0.574746
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	64.371553
cfa-mir-23b.MIMAT0006612	84.487663
cfa-mir-24.MIMAT0006614	60.348331
cfa-mir-2483.MIMAT0034421	0.000000
cfa-mir-25.MIMAT0006697	507.500723
cfa-mir-26a.MIMAT0006595	3284.098675
cfa-mir-26b.MIMAT0006678	1248.348324
cfa-mir-27a.MIMAT0006641	20.116110
cfa-mir-27b.MIMAT0006613	503.477501
cfa-mir-28.MIMAT0006675	470.716978
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	788.551519
cfa-mir-29b.MIMAT0006625	171.274310
cfa-mir-29c.MIMAT0006705	4.023222
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	1044.888238
cfa-mir-30b.MIMAT0006617	68.969521
cfa-mir-30c.MIMAT0006605	259.785194
cfa-mir-30d.MIMAT0006616	1829.991281
cfa-mir-30e.MIMAT0006627	866.716976
cfa-mir-31.MIMAT0006599	2.298984
cfa-mir-32.MIMAT0006597	8.046444
cfa-mir-320.MIMAT0006658	735.100141
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	0.000000
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	0.574746
cfa-mir-328.MIMAT0006688	2.873730
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	0.000000
cfa-mir-331.MIMAT0009895	1.149492
cfa-mir-335.MIMAT0006624	0.000000
cfa-mir-338.MIMAT0006739	1.724238
