Gene	4HB
cfa-mir-218.MIMAT0006672	7.985451
cfa-mir-219-2.MIMAT0006729	0.000000
cfa-mir-219.MIMAT0006611	1.709327
cfa-mir-22.MIMAT0006733	12.433201
cfa-mir-221.MIMAT0006757	11.884252
cfa-mir-222.MIMAT0009851	11.828592
cfa-mir-223.MIMAT0009852	6.628190
cfa-mir-224.MIMAT0006744	6.294289
cfa-mir-2387.MIMAT0034370	-0.290674
cfa-mir-23a.MIMAT0006640	11.136640
cfa-mir-23b.MIMAT0006612	10.150196
cfa-mir-24.MIMAT0006614	11.439797
cfa-mir-2483.MIMAT0034421	3.709327
cfa-mir-25.MIMAT0006697	10.960217
cfa-mir-26a.MIMAT0006595	15.589293
cfa-mir-26b.MIMAT0006678	14.205806
cfa-mir-27a.MIMAT0006641	10.710031
cfa-mir-27b.MIMAT0006613	13.831427
cfa-mir-28.MIMAT0006675	10.790144
cfa-mir-299.MIMAT0009885	1.709327
cfa-mir-29a.MIMAT0006626	12.961549
cfa-mir-29b.MIMAT0006625	9.516682
cfa-mir-29c.MIMAT0006705	6.966715
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	-0.290674
cfa-mir-301b.MIMAT0009854	1.294289
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	13.373329
cfa-mir-30b.MIMAT0006617	11.610571
cfa-mir-30c.MIMAT0006605	13.287463
cfa-mir-30d.MIMAT0006616	14.355942
cfa-mir-30e.MIMAT0006627	8.999346
cfa-mir-31.MIMAT0006599	7.022210
cfa-mir-32.MIMAT0006597	6.084366
cfa-mir-320.MIMAT0006658	10.676553
cfa-mir-323.MIMAT0006718	2.516682
cfa-mir-324.MIMAT0009896	3.879252
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	4.409766
cfa-mir-328.MIMAT0006688	5.567308
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	3.709327
cfa-mir-331.MIMAT0009895	6.516682
cfa-mir-335.MIMAT0006624	0.709327
cfa-mir-338.MIMAT0006739	3.031255
cfa-mir-339-1.MIMAT0011134	9.402814
cfa-mir-33a.MIMAT0006593	1.294289
cfa-mir-33b.MIMAT0009862	0.709327
cfa-mir-340.MIMAT0009892	10.135591
cfa-mir-342.MIMAT0006709	8.794135
cfa-mir-345.MIMAT0006710	1.709327
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	7.859074
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	-0.290674
cfa-mir-350.MIMAT0006704	5.381752
cfa-mir-361.MIMAT0006751	8.058055
cfa-mir-362.MIMAT0009886	6.947731
cfa-mir-363.MIMAT0006750	7.579691
cfa-mir-365.MIMAT0001540	11.249455
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	2.031255
cfa-mir-371.MIMAT0007747	2.294289
cfa-mir-374a.MIMAT0006753	9.735850
cfa-mir-374b.MIMAT0006754	9.930914
cfa-mir-375.MIMAT0009871	10.289585
cfa-mir-376a.MIMAT0006722	0.709327
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	12.755428
cfa-mir-379.MIMAT0006715	3.168758
cfa-mir-380.MIMAT0006717	-0.290674
cfa-mir-381.MIMAT0009891	4.957254
cfa-mir-382.MIMAT0006724	0.709327
cfa-mir-383.MIMAT0006629	2.031255
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	2.294289
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	4.031255
cfa-mir-421.MIMAT0006755	3.616217
cfa-mir-423a.MIMAT0006742	10.789478
cfa-mir-424.MIMAT0006745	4.101644
cfa-mir-425.MIMAT0006639	8.097344
cfa-mir-429.MIMAT0001539	6.248486
cfa-mir-432.MIMAT0009904	-0.290674
cfa-mir-433.MIMAT0006712	-0.290674
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	-0.290674
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	6.591970
cfa-mir-450b.MIMAT0006748	6.786142
cfa-mir-451.MIMAT0009870	12.538455
cfa-mir-452.MIMAT0009900	5.663523
cfa-mir-454.MIMAT0009927	3.168758
cfa-mir-455.MIMAT0006603	9.602628
cfa-mir-483.MIMAT0009901	5.101644
cfa-mir-485.MIMAT0006725	0.000000
cfa-mir-486.MIMAT0011132	10.481641
cfa-mir-486.MIMAT0032036	3.616217
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.709327
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	2.516682
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	0.000000
cfa-mir-494.MIMAT0009905	2.031255
cfa-mir-495.MIMAT0006721	1.294289
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	8.430426
cfa-mir-499.MIMAT0006655	7.908999
cfa-mir-500.MIMAT0006759	7.980790
cfa-mir-502.MIMAT0006761	8.035756
cfa-mir-503.MIMAT0006746	4.353183
cfa-mir-504.MIMAT0009907	6.423572
cfa-mir-505.MIMAT0009908	5.135591
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	9.983122
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	4.838610
cfa-mir-543.MIMAT0006720	2.879252
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	-0.290674
cfa-mir-551a.MIMAT0009912	3.879252
cfa-mir-551b.MIMAT0009913	-0.290674
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	7.869198
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	0.709327
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	7.049177
cfa-mir-592.MIMAT0009918	3.294289
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.000000
cfa-mir-628.MIMAT0009921	0.709327
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.000000
cfa-mir-6516.MIMAT0034393	4.409766
cfa-mir-652.MIMAT0006743	7.523108
cfa-mir-6529.MIMAT0034278	3.168758
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	6.185060
cfa-mir-664.MIMAT0006680	0.709327
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	2.709327
cfa-mir-676.MIMAT0006762	1.709327
cfa-mir-7.MIMAT0006634	10.826970
cfa-mir-708.MIMAT0006643	6.464214
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	3.168758
cfa-mir-758.MIMAT0009925	0.000000
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	2.031255
cfa-mir-802.MIMAT0009928	6.450794
