taglen,crossmapped,rmsk_Simple_repeat,tRNA,LINE,rmsk_Other,No_CDS,rmsk_DNA,unannotated,Intron,Satellite,scRNA,srpRNA,snRNA,mature,rmsk_Unknown,star,LTR,Unknown,p5_UTR,rmsk_Low_complexity,rRNA,p3_UTR,SINE,rmsk_RNA,stemloop,Coding_Exon,precursor,snoRNA
12,0,0,0,0,0,0,0,0,2.12841357629884e-05,0,0,0,0,0,0,0,0,2.66051697037355e-05,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0.000106420678814942,0,0,0,0,0,0,0,0,0.000654487174711893,4.78893054667239e-05,0,0,1.06420678814942e-05,0,0,0,7.44944751704593e-05,0,0
14,0,0,0,0,0,0,0,0,0.00049485615648948,0,0,0,0,5.32103394074709e-06,0,0,0,0.00454416298539802,0.000106420678814942,0,0,5.8531373348218e-05,0,0,0,0.000739623717763846,0,0
15,0,0,0,0,0,0,0,0,0.00158034708040189,0,0,0,0,0,0,0,0,0.0193951687140232,0.000218162391570631,0,0,0.000122383780637183,0,0,0,0.00179850947197252,0,0
16,0,0,0,0,0,0,0,2.12841357629884e-05,0.00312344692321854,0,0,0,0,0.00191557221866895,0,0,0,0.0219811912092262,0.000478893054667238,0,0,0.000441645817082009,0,0,1.06420678814942e-05,0.00459205229086474,5.32103394074709e-06,0
17,0,0,0,0,0,0,0,0.000101099644874195,0.00415040647378273,0,0,0,0,0.00450691574781279,0,0,0,0.0205391910112838,0.000489535122548733,0,0,0.000968428177215971,0,0,0,0.00783256196077972,0,0
18,0,0,0,0,0,0,0,0.00112273816149764,0.00913621527626276,0,0,0,0,0.0080560453862911,0,0,0,0.0381624554230382,0.000734302683823099,0,0,0.00137282675671275,0,0,0,0.0104345475578051,0,0
19,0,0,0,0,0,0,0,0.00335757241661142,0.00624689384643709,0,0,0,0,0.0199538772778016,0,0,0,0.036167067695258,0.000744944751704593,0,0,0.00176126223438729,0,0,0,0.0131748800372898,0,0
20,1.06420678814942e-05,0,0,0,0,0,0,0.00598084214939973,0.00806136642023185,0,0,0,0,0.145626056890366,0,0,0,0.0328520635501726,0.000830081294756547,0,0,0.0022029080514693,0,0,0,0.0135633155149643,5.32103394074709e-06,0
21,0.000196878255807643,0,0,0,0,0,0,0.0845991186239381,0.0230241138616127,0,0,0,0,2.64117501199893,0,0,0,0.0325860118531352,0.000936501973571489,0,0,0.00280418488677372,0,0,1.06420678814942e-05,0.0163089690283898,0,0
