miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	4129	2347.185651	N
cfa-let-7a-2	4088	2323.878649	N
cfa-let-7b	5037	2863.350478	N
cfa-let-7c	2971	1688.904957	N
cfa-let-7d	213	121.082718	N
cfa-let-7e	161	91.522618	N
cfa-let-7f	13698	7786.812557	N
cfa-let-7g	5155	2930.429167	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	11	6.253098	N
cfa-mir-1-2	10	5.684635	N
cfa-mir-101-1	639	363.248155	N
cfa-mir-101-2	776	441.127650	N
cfa-mir-103-1	136	77.311031	Y
cfa-mir-103-2	211	119.945791	Y
cfa-mir-105a	0	0.000000	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	1	0.568463	N
cfa-mir-106b	100	56.846347	N
cfa-mir-107	75	42.634760	Y
cfa-mir-10a	8418	4785.325457	N
cfa-mir-10b	695	395.082109	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	1	0.568463	N
cfa-mir-122	280261	159318.139442	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	3	1.705390	N
cfa-mir-125a	151	85.837983	N
cfa-mir-125b-1	215	122.219645	N
cfa-mir-125b-2	224	127.335816	N
cfa-mir-126	2804	1593.971559	N
cfa-mir-127	5	2.842317	N
cfa-mir-1271	20	11.369269	N
cfa-mir-128-1	135	76.742568	N
cfa-mir-128-2	61	34.676271	N
cfa-mir-129-1	5	2.842317	N
cfa-mir-129-2	5	2.842317	N
cfa-mir-1296	4	2.273854	N
cfa-mir-1301	6	3.410781	N
cfa-mir-1306	37	21.033148	N
cfa-mir-1307	37	21.033148	N
cfa-mir-130a	10	5.684635	N
cfa-mir-130b	1	0.568463	N
cfa-mir-132	9	5.116171	N
cfa-mir-133a	1	0.568463	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	1	0.568463	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	3	1.705390	N
cfa-mir-135a-1	3	1.705390	N
cfa-mir-135a-2	4	2.273854	N
cfa-mir-135b	2	1.136927	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	302	171.675967	N
cfa-mir-140	239	135.862768	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	43	24.443929	N
cfa-mir-143	7108	4040.638316	N
cfa-mir-144	1	0.568463	N
cfa-mir-145	318	180.771382	N
cfa-mir-1468	6	3.410781	N
cfa-mir-146a	203	115.398084	N
cfa-mir-146b	140	79.584885	N
cfa-mir-147	1	0.568463	N
