Gene	17LB
cfa-mir-32.MIMAT0006597	57.227336
cfa-mir-320.MIMAT0006658	2188.627657
cfa-mir-323.MIMAT0006718	1.907578
cfa-mir-324.MIMAT0009896	9.537889
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	3.815156
cfa-mir-328.MIMAT0006688	15.896482
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	1.271719
cfa-mir-330.MIMAT0009893	4.451015
cfa-mir-331.MIMAT0009895	12.081326
cfa-mir-335.MIMAT0006624	5.086874
cfa-mir-338.MIMAT0006739	12.081326
cfa-mir-339-1.MIMAT0011134	218.735594
cfa-mir-33a.MIMAT0006593	2.543437
cfa-mir-33b.MIMAT0009862	3.179296
cfa-mir-340.MIMAT0009892	248.620980
cfa-mir-342.MIMAT0006709	301.397301
cfa-mir-345.MIMAT0006710	5.722734
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	41.966713
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	6.358593
cfa-mir-350.MIMAT0006704	3.179296
cfa-mir-361.MIMAT0006751	279.778085
cfa-mir-362.MIMAT0009886	115.726390
cfa-mir-363.MIMAT0006750	74.395536
cfa-mir-365.MIMAT0001540	1009.744544
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	11.445467
cfa-mir-374a.MIMAT0006753	557.648592
cfa-mir-374b.MIMAT0006754	623.142099
cfa-mir-375.MIMAT0009871	4051.695360
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	5257.920422
cfa-mir-379.MIMAT0006715	8.266171
cfa-mir-380.MIMAT0006717	1.907578
cfa-mir-381.MIMAT0009891	8.902030
cfa-mir-382.MIMAT0006724	1.271719
cfa-mir-383.MIMAT0006629	2.543437
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	1.907578
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	7.630311
cfa-mir-421.MIMAT0006755	13.353045
cfa-mir-423a.MIMAT0006742	2158.742270
cfa-mir-424.MIMAT0006745	17.168201
cfa-mir-425.MIMAT0006639	218.735594
cfa-mir-429.MIMAT0001539	181.219896
cfa-mir-432.MIMAT0009904	1.271719
cfa-mir-433.MIMAT0006712	1.271719
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	1.907578
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	120.813264
cfa-mir-450b.MIMAT0006748	106.188500
cfa-mir-451.MIMAT0009870	3979.207401
cfa-mir-452.MIMAT0009900	42.602572
cfa-mir-454.MIMAT0009927	7.630311
cfa-mir-455.MIMAT0006603	986.853609
cfa-mir-483.MIMAT0009901	41.966713
cfa-mir-485.MIMAT0006725	0.000000
cfa-mir-486.MIMAT0011132	1365.189883
cfa-mir-486.MIMAT0032036	8.266171
cfa-mir-487a.MIMAT0009902	1.271719
cfa-mir-487b.MIMAT0006723	0.635859
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	0.000000
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	1.271719
cfa-mir-494.MIMAT0009905	0.635859
cfa-mir-495.MIMAT0006721	2.543437
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	168.502710
cfa-mir-499.MIMAT0006655	179.312318
cfa-mir-500.MIMAT0006759	146.883495
cfa-mir-502.MIMAT0006761	192.665363
