Gene	17LB
cfa-mir-182.MIMAT0009841	6.901368
cfa-mir-183.MIMAT0006621	5.704331
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	4.961489
cfa-mir-1837.MIMAT0006630	-0.653221
cfa-mir-1838.MIMAT0006644	1.931742
cfa-mir-1839.MIMAT0006677	4.476062
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	3.154134
cfa-mir-1841.MIMAT0006686	2.154134
cfa-mir-1842.MIMAT0006701	2.346779
cfa-mir-1843.MIMAT0006706	4.990636
cfa-mir-1844.MIMAT0006740	0.000000
cfa-mir-185.MIMAT0006660	8.201648
cfa-mir-186.MIMAT0006694	11.638813
cfa-mir-187.MIMAT0009843	0.931742
cfa-mir-188.MIMAT0009880	0.000000
cfa-mir-18a.MIMAT0009832	3.434242
cfa-mir-18b.MIMAT0009831	1.346779
cfa-mir-190a.MIMAT0009872	0.000000
cfa-mir-190b.MIMAT0009873	3.154134
cfa-mir-191.MIMAT0006638	12.905798
cfa-mir-192.MIMAT0006632	13.950058
cfa-mir-193a.MIMAT0006735	7.259669
cfa-mir-193b.MIMAT0006699	3.253670
cfa-mir-194.MIMAT0006681	12.335464
cfa-mir-195.MIMAT0006692	9.667580
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	3.434242
cfa-mir-197.MIMAT0006698	5.901368
cfa-mir-199.MIMAT0006642	14.291720
cfa-mir-19a.MIMAT0006650	3.154134
cfa-mir-19b.MIMAT0006652	6.650560
cfa-mir-200a.MIMAT0009865	5.901368
cfa-mir-200b.MIMAT0009864	5.047219
cfa-mir-200c.MIMAT0006664	8.241597
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	5.346779
cfa-mir-204.MIMAT0006598	9.912833
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.931742
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	8.885938
cfa-mir-20b.MIMAT0009830	2.806211
cfa-mir-21.MIMAT0006741	14.454936
cfa-mir-210.MIMAT0009846	3.047219
cfa-mir-211.MIMAT0009867	-0.653221
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	1.931742
cfa-mir-214.MIMAT0009847	8.531655
cfa-mir-215.MIMAT0009848	4.300976
cfa-mir-216a.MIMAT0009849	-0.653221
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	9.246136
cfa-mir-219-2.MIMAT0006729	-0.653221
cfa-mir-219.MIMAT0006611	1.668707
cfa-mir-22.MIMAT0006733	13.177493
cfa-mir-221.MIMAT0006757	11.134682
cfa-mir-222.MIMAT0009851	12.110614
cfa-mir-223.MIMAT0009852	4.931742
cfa-mir-224.MIMAT0006744	7.636798
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	10.399347
cfa-mir-23b.MIMAT0006612	9.235523
cfa-mir-24.MIMAT0006614	12.251038
cfa-mir-2483.MIMAT0034421	3.346780
cfa-mir-25.MIMAT0006697	11.303881
cfa-mir-26a.MIMAT0006595	16.409310
cfa-mir-26b.MIMAT0006678	13.772782
cfa-mir-27a.MIMAT0006641	10.813366
cfa-mir-27b.MIMAT0006613	12.722090
cfa-mir-28.MIMAT0006675	10.530415
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	11.381922
cfa-mir-29b.MIMAT0006625	8.848617
cfa-mir-29c.MIMAT0006705	6.004991
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	-0.653221
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	12.182632
cfa-mir-30b.MIMAT0006617	9.221761
cfa-mir-30c.MIMAT0006605	13.191583
cfa-mir-30d.MIMAT0006616	13.586825
cfa-mir-30e.MIMAT0006627	8.708723
cfa-mir-31.MIMAT0006599	7.460522
cfa-mir-32.MIMAT0006597	5.838633
cfa-mir-320.MIMAT0006658	11.095811
cfa-mir-323.MIMAT0006718	0.931742
cfa-mir-324.MIMAT0009896	3.253670
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	1.931742
cfa-mir-328.MIMAT0006688	3.990636
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.346780
cfa-mir-330.MIMAT0009893	2.154134
cfa-mir-331.MIMAT0009895	3.594707
cfa-mir-335.MIMAT0006624	2.346779
cfa-mir-338.MIMAT0006739	3.594707
cfa-mir-339-1.MIMAT0011134	7.773044
cfa-mir-33a.MIMAT0006593	1.346779
cfa-mir-33b.MIMAT0009862	1.668707
cfa-mir-340.MIMAT0009892	7.957804
cfa-mir-342.MIMAT0006709	8.235523
cfa-mir-345.MIMAT0006710	2.516705
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	5.391174
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	2.668708
cfa-mir-350.MIMAT0006704	1.668707
cfa-mir-361.MIMAT0006751	8.128139
cfa-mir-362.MIMAT0009886	6.854574
cfa-mir-363.MIMAT0006750	6.217144
cfa-mir-365.MIMAT0001540	9.979775
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	3.516704
cfa-mir-374a.MIMAT0006753	9.123212
cfa-mir-374b.MIMAT0006754	9.283417
cfa-mir-375.MIMAT0009871	11.984310
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	12.360277
cfa-mir-379.MIMAT0006715	3.047219
cfa-mir-380.MIMAT0006717	0.931742
cfa-mir-381.MIMAT0009891	3.154134
cfa-mir-382.MIMAT0006724	0.346780
cfa-mir-383.MIMAT0006629	1.346779
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.931742
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	2.931742
cfa-mir-421.MIMAT0006755	3.739097
cfa-mir-423a.MIMAT0006742	11.075975
cfa-mir-424.MIMAT0006745	4.101667
cfa-mir-425.MIMAT0006639	7.773044
cfa-mir-429.MIMAT0001539	7.501598
cfa-mir-432.MIMAT0009904	0.346780
cfa-mir-433.MIMAT0006712	0.346780
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.931742
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	6.916635
cfa-mir-450b.MIMAT0006748	6.730484
cfa-mir-451.MIMAT0009870	11.958265
cfa-mir-452.MIMAT0009900	5.412869
cfa-mir-454.MIMAT0009927	2.931742
cfa-mir-455.MIMAT0006603	9.946692
cfa-mir-483.MIMAT0009901	5.391174
cfa-mir-485.MIMAT0006725	0.000000
