Gene	10TB
cfa-mir-219.MIMAT0006611	7.217585
cfa-mir-22.MIMAT0006733	9014.763570
cfa-mir-221.MIMAT0006757	4491.743684
cfa-mir-222.MIMAT0009851	3387.453191
cfa-mir-223.MIMAT0009852	73.378780
cfa-mir-224.MIMAT0006744	39.696717
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	1854.919325
cfa-mir-23b.MIMAT0006612	778.296241
cfa-mir-24.MIMAT0006614	2812.452259
cfa-mir-2483.MIMAT0034421	51.726025
cfa-mir-25.MIMAT0006697	2046.185326
cfa-mir-26a.MIMAT0006595	32396.129931
cfa-mir-26b.MIMAT0006678	21793.497678
cfa-mir-27a.MIMAT0006641	1919.877590
cfa-mir-27b.MIMAT0006613	11081.398720
cfa-mir-28.MIMAT0006675	1449.531639
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	6303.357500
cfa-mir-29b.MIMAT0006625	1230.598230
cfa-mir-29c.MIMAT0006705	169.613246
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	2.405862
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	11805.563074
cfa-mir-30b.MIMAT0006617	3890.278274
cfa-mir-30c.MIMAT0006605	9765.392402
cfa-mir-30d.MIMAT0006616	13215.397996
cfa-mir-30e.MIMAT0006627	607.480064
cfa-mir-31.MIMAT0006599	127.510667
cfa-mir-32.MIMAT0006597	116.684290
cfa-mir-320.MIMAT0006658	1015.273613
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	22.855686
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	16.841031
cfa-mir-328.MIMAT0006688	36.087925
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	15.638101
cfa-mir-331.MIMAT0009895	78.190503
cfa-mir-335.MIMAT0006624	3.608792
cfa-mir-338.MIMAT0006739	13.232239
cfa-mir-339-1.MIMAT0011134	732.584870
cfa-mir-33a.MIMAT0006593	4.811723
cfa-mir-33b.MIMAT0009862	2.405862
cfa-mir-340.MIMAT0009892	1194.510305
cfa-mir-342.MIMAT0006709	387.343724
cfa-mir-345.MIMAT0006710	3.608792
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	375.314416
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	6.014654
cfa-mir-350.MIMAT0006704	70.972918
cfa-mir-361.MIMAT0006751	303.138567
cfa-mir-362.MIMAT0009886	156.381007
cfa-mir-363.MIMAT0006750	120.293082
cfa-mir-365.MIMAT0001540	2058.214634
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	12.029308
cfa-mir-374a.MIMAT0006753	1485.619564
cfa-mir-374b.MIMAT0006754	862.501398
cfa-mir-375.MIMAT0009871	1838.078294
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	10479.933310
cfa-mir-379.MIMAT0006715	10.826377
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	21.652755
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	4.811723
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	1.202931
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	4.811723
cfa-mir-421.MIMAT0006755	15.638101
