Gene	1_1PP
cfa-mir-183.MIMAT0006621	5.957123
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	7.202880
cfa-mir-1837.MIMAT0006630	0.000000
cfa-mir-1838.MIMAT0006644	3.149768
cfa-mir-1839.MIMAT0006677	4.635195
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	3.412803
cfa-mir-1841.MIMAT0006686	0.000000
cfa-mir-1842.MIMAT0006701	3.827840
cfa-mir-1843.MIMAT0006706	5.471696
cfa-mir-1844.MIMAT0006740	0.827840
cfa-mir-185.MIMAT0006660	7.758578
cfa-mir-186.MIMAT0006694	10.494952
cfa-mir-187.MIMAT0009843	0.000000
cfa-mir-188.MIMAT0009880	1.827840
cfa-mir-18a.MIMAT0009832	3.635195
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	0.000000
cfa-mir-190b.MIMAT0009873	0.827840
cfa-mir-191.MIMAT0006638	13.780399
cfa-mir-192.MIMAT0006632	13.795066
cfa-mir-193a.MIMAT0006735	9.562550
cfa-mir-193b.MIMAT0006699	5.734731
cfa-mir-194.MIMAT0006681	12.312160
cfa-mir-195.MIMAT0006692	7.056659
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	0.000000
cfa-mir-197.MIMAT0006698	7.075768
cfa-mir-199.MIMAT0006642	12.273372
cfa-mir-19a.MIMAT0006650	2.827840
cfa-mir-19b.MIMAT0006652	3.827840
cfa-mir-200a.MIMAT0009865	3.997765
cfa-mir-200b.MIMAT0009864	2.827840
cfa-mir-200c.MIMAT0006664	4.635195
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	6.827840
cfa-mir-204.MIMAT0006598	6.685821
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.000000
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	7.287272
cfa-mir-20b.MIMAT0009830	2.412803
cfa-mir-21.MIMAT0006741	14.661817
cfa-mir-210.MIMAT0009846	0.000000
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	1.827840
cfa-mir-214.MIMAT0009847	6.936365
cfa-mir-215.MIMAT0009848	3.635195
cfa-mir-216a.MIMAT0009849	0.827840
cfa-mir-216b.MIMAT0006592	0.827840
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	6.734731
cfa-mir-219-2.MIMAT0006729	0.000000
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	13.413038
cfa-mir-221.MIMAT0006757	11.201793
cfa-mir-222.MIMAT0009851	12.164347
cfa-mir-223.MIMAT0009852	5.220158
cfa-mir-224.MIMAT0006744	5.528280
cfa-mir-2387.MIMAT0034370	0.827840
cfa-mir-23a.MIMAT0006640	9.382429
cfa-mir-23b.MIMAT0006612	8.528280
cfa-mir-24.MIMAT0006614	10.799384
cfa-mir-2483.MIMAT0034421	1.827840
cfa-mir-25.MIMAT0006697	10.911320
cfa-mir-26a.MIMAT0006595	14.911818
cfa-mir-26b.MIMAT0006678	13.052445
cfa-mir-27a.MIMAT0006641	9.987712
cfa-mir-27b.MIMAT0006613	12.314675
cfa-mir-28.MIMAT0006675	10.660730
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	11.688927
cfa-mir-29b.MIMAT0006625	7.967392
cfa-mir-29c.MIMAT0006705	3.827840
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	11.872234
cfa-mir-30b.MIMAT0006617	8.787842
cfa-mir-30c.MIMAT0006605	12.492288
cfa-mir-30d.MIMAT0006616	13.844649
cfa-mir-30e.MIMAT0006627	8.295446
cfa-mir-31.MIMAT0006599	3.997765
cfa-mir-32.MIMAT0006597	5.872234
cfa-mir-320.MIMAT0006658	11.466276
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	0.827840
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	2.412803
cfa-mir-328.MIMAT0006688	6.351402
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	3.412803
cfa-mir-331.MIMAT0009895	4.734731
cfa-mir-335.MIMAT0006624	0.000000
cfa-mir-338.MIMAT0006739	2.412803
cfa-mir-339-1.MIMAT0011134	7.442550
cfa-mir-33a.MIMAT0006593	0.827840
cfa-mir-33b.MIMAT0009862	0.000000
cfa-mir-340.MIMAT0009892	8.113242
cfa-mir-342.MIMAT0006709	7.839067
cfa-mir-345.MIMAT0006710	0.827840
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	6.351402
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	0.000000
cfa-mir-350.MIMAT0006704	2.412803
cfa-mir-361.MIMAT0006751	6.782037
cfa-mir-362.MIMAT0009886	6.915303
cfa-mir-363.MIMAT0006750	6.936365
cfa-mir-365.MIMAT0001540	10.276989
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.827840
cfa-mir-371.MIMAT0007747	2.827840
cfa-mir-374a.MIMAT0006753	7.514341
cfa-mir-374b.MIMAT0006754	7.319693
cfa-mir-375.MIMAT0009871	11.491398
