, 19150
UBR3, 62
GGH, 62
KTN1, 62
EIF5B, 62
CAPRIN1, 62
PCM1, 62
CD36, 62
DDX17, 61
NDRG2, 61
ASS1, 61
DIAPH1, 61
ACACA, 61
ARHGAP5, 61
CREG1, 60
USP34, 60
UBXN4, 60
AZGP1, 60
PON3, 60
TAGLN, 59
WLS, 59
CLPX, 59
CEP350, 59
RDX, 59
VCP, 59
SMG1, 59
MMP2, 59
QKI, 59
IFNGR1, 58
CALU, 58
FTL, 58
USP47, 58
UGT2A3, 58
PECR, 58
TOP2B, 58
PHF3, 57
DPYS, 57
HSPA9, 57
RNASE4, 57
MDN1, 57
HGF, 57
XPOT, 57
F9, 57
MMP14, 56
SCAF11, 56
HMCN1, 56
KMT2C, 56
TPR, 56
REV3L, 56
YME1L1, 56
EIF4G1, 56
PIK3R1, 56
STAT3, 56
VPS13A, 56
Nox2, 55
FUCA1, 55
SLK, 55
CYP2A13, 55
RNF213, 55
HIPK3, 55
ZNFX1, 55
MAP4, 55
FMO1, 55
PLA2R1, 54
NACA, 54
ANKRD50, 54
ASCC3, 54
SUCLG2, 54
ACTR3, 54
DHRS7, 54
FREM1, 53
COPB1, 53
CCT5, 53
AFM, 53
SOAT1, 53
SORT1, 53
FBXW2, 53
MAP3K1, 53
JMJD1C, 53
CDH2, 53
RPS18, 53
SLC15A1, 53
PLA2G7, 53
HNRNPDL, 53
LRPPRC, 53
ATP2A2, 53
PDCD6IP, 52
CHD9, 52
GPLD1, 52
MGAM, 52
SVIL, 52
TKFC, 52
OSGEPL1, 52
SLC7A2, 52
ARHGEF12, 52
ATRN, 52
CD47, 52
FDFT1, 52
ABCB11, 51
ETFDH, 51
RPL7, 51
LAMC3, 51
GCLM, 51
ADAM10, 51
NBEAL1, 51
SETD2, 51
HPD, 51
NCOR1, 51
ROCK2, 50
PLXNB2, 50
ACO1, 50
RPS8, 50
GCLC, 50
SARAF, 50
MT2A, 50
CCNG1, 50
WAPL, 50
DOCK1, 50
LAMB1, 50
ADGRF5, 50
H3F3A, 50
EIF4G3, 50
ARPC5, 50
STT3A, 50
KIAA0368, 50
LARP1, 50
PRPF40A, 49
RPL15, 49
FAT4, 49
SMOC2, 49
RBBP4, 49
SPEN, 49
ACADSB, 49
CPT1A, 49
RRBP1, 49
TTPA, 49
SPPL2A, 49
GTF2I, 49
CCT8, 49
RPS4X, 48
VPS13B, 48
KAT6A, 48
TNS1, 48
IL1R1, 48
ITGA8, 48
SDHA, 48
PECAM1, 48
KIAA1429, 48
KPNB1, 48
AARS, 48
PCYOX1, 48
NPNT, 48
AZIN1, 48
ABCD3, 48
UACA, 48
RACK1, 48
ACSL5, 48
COMT, 47
ABCC2, 47
SSR1, 47
RGS5, 47
WDFY3, 47
POLR2B, 47
ITFG1, 47
HNRNPR, 47
WDR1, 47
LRBA, 47
NFE2L2, 47
CTSL, 47
LGMN, 47
ADK, 47
ARHGAP29, 47
VNN1, 46
MRC2, 46
