, 2137169
ADIPOR2, 408
IRS2, 408
SOCS2, 406
MSRA, 406
NAALADL2, 405
SLC22A3, 403
SORBS2, 401
NOP53, 400
SETD2, 399
TDO2, 397
EHHADH, 395
SSR1, 394
ACYP2, 393
AFDN, 392
MYO7A, 392
ABCB4, 391
NCAPD2, 389
A1CF, 387
LARP4, 386
PON1, 385
CNNM2, 384
UBE3C, 384
MAPK14, 383
TBC1D5, 383
ATRX, 381
CCT6A, 381
ATP11C, 380
ARHGAP24, 380
ADGRL2, 379
ROBO1, 376
CLIC4, 376
ACOT12, 375
TEAD1, 375
UROC1, 373
FTO, 373
PAPD5, 373
TPK1, 371
DDX17, 370
RBM33, 370
MCTP1, 369
CMTM8, 368
TXNDC11, 366
BCKDHB, 364
STARD13, 364
GCLC, 364
ALDH1A1, 362
ACSL1, 362
PSD3, 362
HERC4, 361
RANBP17, 360
VMP1, 360
LGALS8, 359
PAN3, 358
RBM39, 358
C16orf72, 356
DLC1, 355
INTS6, 353
DDX5, 352
CPB2, 351
C8A, 351
TANK, 350
HACE1, 349
UVRAG, 349
MAP2K4, 349
HDAC4, 348
CCSER1, 348
CHD8, 346
ARL15, 346
KAT6B, 344
PDLIM5, 342
CREBBP, 340
MLLT10, 340
CALD1, 339
CLYBL, 338
ARHGEF26, 337
XDH, 336
RNLS, 335
MACF1, 335
TIPRL, 334
CDC42BPB, 334
VPS13A, 333
PAH, 332
MAP2K5, 331
HELZ, 331
CUX2, 330
MOB1B, 328
ACO1, 328
NEDD4L, 327
SFMBT2, 326
VTI1A, 325
UBR2, 322
UGP2, 322
CLIP1, 322
ACAD11, 322
CCDC34, 322
HNRNPD, 322
MOB3B, 319
C6orf106, 319
NCKIPSD, 319
FNIP1, 318
TCF7L1, 318
MAP3K1, 318
ASCC3, 316
LPIN2, 316
DCAF6, 316
PLXNA4, 312
B3GLCT, 311
DAAM1, 310
UBAP2L, 310
PROX1, 310
COMMD10, 309
ABLIM3, 309
HOMER1, 309
RYR2, 308
UGGT1, 308
FNDC3A, 308
GRB10, 307
WWTR1, 306
FMO5, 306
RETREG1, 306
RBM6, 305
EVI5, 304
SKI, 304
PFKFB1, 303
MTPAP, 302
CRADD, 302
AKAP7, 301
CYP3A26, 300
GPAT4, 299
SLC16A10, 298
GRK5, 298
ACVR1, 298
PAPD4, 297
SYNE2, 297
ASPH, 296
SH3PXD2A, 296
PLEKHM3, 295
IL1R1, 295
EP300, 295
COL4A5, 294
H2AFY, 294
HHAT, 293
MON2, 293
MYO1D, 292
ATF6, 292
NRP1, 292
RCL1, 292
HMGCLL1, 292
PPP3CA, 291
EP400, 291
SENP6, 290
ITIH1, 289
AP3B1, 289
ANKS1B, 289
KDM4C, 289
RASA1, 289
PTPN1, 288
PPP6R3, 288
ATXN7, 287
FZD4, 287
FCHSD2, 287
NOL10, 287
OSBPL9, 286
PHB2, 285
MED27, 285
NHLRC2, 285
FAF1, 284
RFWD2, 284
HIVEP1, 283
STAG1, 283
STX18, 283
SERPINA3, 283
TOMM20, 283
MB21D2, 283
CCDC91, 283
ARHGAP12, 282
PLPP3, 282
PITPNB, 281
SDC4, 280
MARCH6, 280
FOXP2, 279
MET, 278
HNF4A, 278
ITPR2, 278
ARHGAP42, 276
EGFR, 275
ZFPM2, 274
TMEM161B, 272
METTL9, 272
NF1, 272
SRSF11, 272
UBE2H, 271
NR1H4, 269
RGS7, 269
NEBL, 269
AGAP1, 268
CAMK2D, 268
WWC1, 268
SGMS1, 268
PHACTR2, 267
TMCC1, 267
MTUS1, 267
ISCA1, 267
ARRDC3, 266
SLC23A2, 266
ADSS, 266
ITGA1, 266
RPTOR, 265
SUSD6, 265
TRMT44, 265
EIF4EBP3, 265
KIAA1328, 265
AGAP2, 265
UBE2R2, 265
SH3RF1, 264
TULP3, 264
LMAN2, 264
WWP1, 264
CUX1, 263
CAMKMT, 263
IGFBP4, 263
SASH1, 263
BICC1, 263
DNAJC1, 263
WDFY2, 262
DHX15, 260
MKLN1, 260
WWOX, 259
NAV2, 258
HPX, 258
ANKS1A, 257
SLMAP, 257
ALDH8A1, 257
PTPRG, 257
WDR70, 256
XPO6, 256
SNX29, 256
MARK3, 256
SLCO2B1, 256
PPP2R2A, 255
MCU, 255
NCOR1, 253
EPHA4, 252
DYM, 252
WASL, 252
ASS1, 251
RAB1A, 251
MASP1, 250
ACTN4, 249
ACSM5, 249
DDX10, 248
CD47, 248
MAP3K5, 248
WDFY4, 248
KAT6A, 248
UBR3, 247
KIAA0922, 247
SERPINC1, 246
SLC7A2, 246
AIG1, 246
HAL, 246
GUCY1A2, 246
SLC25A37, 245
APOB, 245
PHIP, 245
GPLD1, 244
PDIA4, 244
AR, 244
PPP1R12B, 244
ARIH1, 244
BIRC6, 244
NR3C2, 244
CAPZA2, 243
TMEM167A, 243
DOCK3, 243
CD2AP, 242
SOD2, 241
SLC25A16, 241
PPM1H, 240
ATP2A2, 240
FERMT2, 240
SHROOM2, 239
ITIH2, 239
HIKESHI, 238
WDFY3, 237
FMR1, 237
UBR4, 236
HERC1, 236
IGF1R, 236
RSU1, 236
GBF1, 235
SMIM14, 235
SNTB1, 235
RB1CC1, 235
UHRF1BP1L, 234
CSPP1, 234
RAB43, 234
PDSS2, 234
CCDC170, 234
RANBP1, 234
PUM2, 234
MAN1A2, 233
UBL3, 233
TMTC2, 233
PCDH7, 233
FAM13A, 232
ST7L, 232
RAD54L2, 232
ARID4B, 232
CDK13, 232
GYS2, 232
CALR, 232
BMP2K, 231
FRY, 231
SERPING1, 231
ERLIN1, 231
LYPLAL1, 231
COBL, 231
GNA14, 230
CAT, 230
MAP4K3, 230
NCEH1, 230
C8B, 229
PLCB1, 229
GPR182, 229
BRD4, 229
TTPA, 229
HS3ST3A1, 228
INSIG2, 228
VPS41, 228
SMAP1, 228
LIFR, 228
WDR7, 228
DNAJC3, 228
APBB2, 228
USO1, 227
SLC17A2, 227
OCIAD1, 227
C19orf57, 227
BRWD1, 227
SCAPER, 226
MYO9A, 226
CD28, 226
FARS2, 226
ANKRD12, 226
PRKDC, 225
ITCH, 225
NLK, 225
GIGYF2, 225
THADA, 225
IPO7, 225
DLG1, 224
TRAPPC9, 224
RASGEF1B, 224
TBCEL, 223
UBAC2, 223
SPECC1L, 223
FMO1, 223
ZFHX3, 223
MED13, 223
FOXJ3, 223
TRIO, 222
EFR3A, 222
TRIP12, 222
ERBIN, 222
LMBR1, 221
AGPS, 221
TIA1, 221
COL4A3BP, 220
FAM208B, 220
SHMT2, 220
RABGAP1, 219
PRKCH, 218
SLC38A2, 218
ATP13A3, 218
TNKS, 218
ITFG1, 218
ISPD, 218
TLE4, 217
NOTCH2, 217
TMEM164, 216
HERC3, 216
MINDY3, 216
SMG6, 216
TAX1BP1, 216
SLC4A4, 215
COG5, 215
RAPGEF2, 215
AADAT, 214
SMAD6, 214
WNK1, 214
CCDC50, 213
MAPKAP1, 213
HIPK3, 213
SNX13, 213
DCAF5, 213
ST7, 213
ZCCHC2, 212
SOX6, 212
FSD1L, 212
INSR, 212
PDE3B, 211
CARMIL1, 211
CTNNA1, 211
RASAL2, 211
ACSS2, 211
BCL2L11, 210
ATP11B, 210
F2, 209
MYO1E, 209
STAT3, 208
KIF13B, 208
SREK1, 208
PTPN3, 208
KCNMA1, 207
LMNB1, 206
CFHR5, 206
PHF14, 205
SNX27, 205
KANK1, 205
PHKB, 205
ENPP1, 204
PHLDB2, 204
TTLL11, 204
NADK, 204
EXOC6, 204
CADM1, 203
VPS13C, 203
GRB2, 203
COLEC12, 203
AKT3, 203
SMAD2, 203
DDX3X, 202
SETBP1, 202
PPP6R2, 202
CUL4A, 202
PIAS1, 202
FBXW4, 202
timp3, 202
UGCG, 201
TPM1, 201
HPN, 201
HNRNPM, 201
RAB3GAP1, 201
ZNRF3, 201
ELL, 201
UBE2K, 201
MTMR10, 201
TPST1, 200
TRANK1, 200
PARP8, 200
ARHGAP32, 199
MAP3K21, 199
WRAP53, 199
WDFY1, 198
HSD17B12, 198
KLF12, 198
PGS1, 198
TTC7B, 198
ATG7, 197
RPS6KC1, 197
ALDH5A1, 197
XPOT, 197
NCK1, 197
AARS, 196
ANTXR2, 196
FAM107B, 196
PCTP, 196
ERGIC1, 195
TCFL5, 195
TOP1, 195
ASH1L, 195
MESDC2, 195
MITF, 195
LPGAT1, 194
ACVR2A, 194
GPCPD1, 194
NOD1, 194
NHSL1, 193
COL4A2, 193
SYNPO2, 193
ALB, 193
PDGFD, 193
ITGAV, 192
LRRFIP2, 192
RNGTT, 192
LDLRAD4, 192
RTN4, 192
MAPKAPK5, 192
UBE2G1, 191
ATG5, 191
MBNL3, 191
ELP4, 190
GAB1, 190
LGMN, 190
GLIS3, 190
SPPL3, 190
KIAA2026, 190
YME1L1, 190
FBLN1, 190
CHM, 189
PNPLA8, 189
ADCY5, 189
CHD1L, 189
KMT2C, 189
PTEN, 188
SLC30A7, 188
KIF1B, 188
CAPRIN1, 188
EML4, 188
ARFGEF1, 188
SAFB2, 188
TFDP2, 187
DAPK1, 186
PYROXD2, 186
FAM102A, 186
PROS1, 186
EBI3, 186
APOOL, 185
OTUD4, 185
HGF, 185
GNAQ, 185
ZNF277, 185
DDX11, 185
AP2B1, 185
BBS9, 184
PTBP2, 184
RNF144B, 184
OSBPL1A, 184
CGN, 184
PDLIM1, 184
C7, 183
TTC39B, 183
SENP7, 183
SF3B1, 183
XRN2, 183
STOX2, 183
ATE1, 183
KDM2A, 183
LUC7L, 183
SPRED1, 182
ACOX1, 182
TYSND1, 182
PPP1R12A, 182
MYO5B, 182
CFLAR, 182
RERE, 182
FUS, 181
MTDH, 181
AGXT2, 180
WDR33, 180
ABI1, 180
DEPDC7, 180
RAPGEF1, 180
CCNT2, 179
HAUS6, 179
RGL1, 179
USP24, 179
DYRK1A, 179
FIGN, 177
EXOC2, 177
ATP8B4, 177
C6, 177
PTPRN2, 177
RYBP, 177
SBNO1, 176
EPC1, 176
FAM120A, 176
UBE2D2, 175
MTR, 175
ABHD15, 175
PDE3A, 175
MIER1, 175
GLDC, 175
SLC25A21, 175
ETNK1, 174
SEC24D, 174
FCHO2, 174
ETFA, 174
FEM1C, 174
RRBP1, 174
TSC22D2, 174
SLC10A7, 174
EGLN1, 174
STT3B, 174
TXNDC12, 173
FER, 173
RELN, 173
RTN3, 173
STRN3, 173
EPB41L5, 173
CYLD, 173
ANK3, 173
PLCE1, 173
ZBTB20, 172
HOGA1, 172
F9, 172
USP48, 172
ETS1, 172
ZZZ3, 172
REV3L, 171
IREB2, 171
ROCK1, 171
DHRS3, 171
GPATCH2, 171
HDLBP, 171
NSD1, 171
STIM1, 170
ANKRD28, 170
STAG2, 170
EPRS, 170
NIPBL, 170
NEO1, 170
NSRP1, 169
ITPKB, 169
PDE4D, 169
CCNL1, 169
METTL26, 169
ZFR, 168
UBXN4, 168
TLK2, 168
PHACTR4, 168
RMDN1, 167
STK39, 167
HRPT2, 167
FH, 167
URI1, 167
ESD, 167
TSPAN9, 167
GSTM4, 167
ZC3H13, 167
ACTN1, 167
TSPAN10, 167
GLUL, 166
PLXDC2, 166
DOCK9, 166
MNAT1, 166
SPEN, 166
NFKB1, 166
ZNF280D, 166
TRA2B, 166
LRRC28, 165
LARGE1, 165
TEF, 165
EVA1A, 165
PPP2R5C, 165
FBXO11, 165
SLC13A3, 165
CLTC, 164
PRIMA1, 164
SNRNP70, 164
SMAD1, 164
PTK2, 163
PPP2R5E, 163
CYSTM1, 162
COMMD1, 162
RBM5, 162
TLK1, 162
TGFBR3, 162
FBXL5, 161
KMT2E, 161
CHD9, 161
CPN1, 161
PPM1A, 161
ANKH, 161
GTF2I, 161
FBXO34, 161
TRAPPC8, 160
ADAM18, 160
GGACT, 160
RRN3, 160
AACS, 159
SF1, 159
MDM2, 159
HECTD1, 159
TBC1D22A, 159
PIK3C3, 158
MCL1, 158
ATP8A1, 158
RELL1, 158
NCKAP1, 158
PCYT2, 158
PCMTD1, 158
SPIRE1, 158
YTHDF3, 158
