Gene	JB1
cfa-mir-153.MIMAT0009840	1.397327
cfa-mir-155.MIMAT0006671	556.136223
cfa-mir-15a.MIMAT0006647	23.754562
cfa-mir-15b.MIMAT0006676	32.138525
cfa-mir-16.MIMAT0006648	517.011061
cfa-mir-17.MIMAT0006649	0.000000
cfa-mir-181a.MIMAT0006707	421.992812
cfa-mir-181b.MIMAT0006708	220.777696
cfa-mir-181c.MIMAT0006635	6.986636
cfa-mir-181d.MIMAT0006636	18.165254
cfa-mir-182.MIMAT0009841	259.902858
cfa-mir-183.MIMAT0006621	111.786175
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	301.822674
cfa-mir-1837.MIMAT0006630	1.397327
cfa-mir-1838.MIMAT0006644	1.397327
cfa-mir-1839.MIMAT0006677	55.893088
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	0.000000
cfa-mir-1841.MIMAT0006686	0.000000
cfa-mir-1842.MIMAT0006701	1.397327
cfa-mir-1843.MIMAT0006706	26.549217
cfa-mir-1844.MIMAT0006740	2.794654
cfa-mir-185.MIMAT0006660	623.207928
cfa-mir-186.MIMAT0006694	1857.047839
cfa-mir-187.MIMAT0009843	0.000000
cfa-mir-188.MIMAT0009880	0.000000
cfa-mir-18a.MIMAT0009832	8.383963
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	4.191982
cfa-mir-190b.MIMAT0009873	2.794654
cfa-mir-191.MIMAT0006638	9104.983987
cfa-mir-192.MIMAT0006632	8995.992466
cfa-mir-193a.MIMAT0006735	120.170139
cfa-mir-193b.MIMAT0006699	30.741198
cfa-mir-194.MIMAT0006681	4331.714297
cfa-mir-195.MIMAT0006692	159.295300
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	0.000000
cfa-mir-197.MIMAT0006698	15.370599
cfa-mir-199.MIMAT0006642	3462.576783
cfa-mir-19a.MIMAT0006650	8.383963
cfa-mir-19b.MIMAT0006652	15.370599
cfa-mir-200a.MIMAT0009865	36.330507
cfa-mir-200b.MIMAT0009864	23.754562
cfa-mir-200c.MIMAT0006664	222.175024
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	78.250323
cfa-mir-204.MIMAT0006598	110.388848
cfa-mir-205.MIMAT0009845	2.794654
cfa-mir-206.MIMAT0006606	1.397327
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	313.001291
cfa-mir-20b.MIMAT0009830	1.397327
cfa-mir-21.MIMAT0006741	35429.230967
cfa-mir-210.MIMAT0009846	8.383963
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	1.397327
cfa-mir-214.MIMAT0009847	72.661014
cfa-mir-215.MIMAT0009848	5.589309
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	410.814195
cfa-mir-219-2.MIMAT0006729	0.000000
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	8880.014309
cfa-mir-221.MIMAT0006757	1300.911616
cfa-mir-222.MIMAT0009851	4175.213651
cfa-mir-223.MIMAT0009852	23.754562
cfa-mir-224.MIMAT0006744	47.509125
cfa-mir-2387.MIMAT0034370	1.397327
cfa-mir-23a.MIMAT0006640	505.832444
cfa-mir-23b.MIMAT0006612	273.876130
cfa-mir-24.MIMAT0006614	2231.531526
cfa-mir-2483.MIMAT0034421	5.589309
cfa-mir-25.MIMAT0006697	1859.842493
cfa-mir-26a.MIMAT0006595	29110.517402
cfa-mir-26b.MIMAT0006678	6349.454763
cfa-mir-27a.MIMAT0006641	737.788758
cfa-mir-27b.MIMAT0006613	2062.454936
cfa-mir-28.MIMAT0006675	621.810601
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	959.963781
cfa-mir-29b.MIMAT0006625	148.116682
cfa-mir-29c.MIMAT0006705	20.959908
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	3065.735860
cfa-mir-30b.MIMAT0006617	198.420461
cfa-mir-30c.MIMAT0006605	3616.282774
cfa-mir-30d.MIMAT0006616	7601.459927
cfa-mir-30e.MIMAT0006627	219.380369
cfa-mir-31.MIMAT0006599	72.661014
cfa-mir-32.MIMAT0006597	29.343871
cfa-mir-320.MIMAT0006658	3064.338533
