taglen,crossmapped,unannotated,rmsk_Low_complexity,Satellite,rmsk_Simple_repeat,LTR,rmsk_DNA,p3_UTR,snoRNA,rmsk_Other,precursor,mature,SINE,Unknown,No_CDS,Coding_Exon,star,srpRNA,tRNA,rmsk_Unknown,p5_UTR,rmsk_RNA,Intron,stemloop,scRNA,LINE,rRNA,snRNA
11,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80597902238216e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,4.80597902238216e-06,0,0,0,0,0,0.00108134528003599,0,4.80597902238216e-06,0,0,0,0,1.44179370671465e-05,0,8.17016433804968e-05,0,0,0,0,0
13,0,0,0,0,0,0,0,3.36418531566752e-05,0,0,0,0,0,0.0066034151767531,0,0.00017782122382814,0,0,0,0,6.72837063133503e-05,0,0.00159558503543088,0,0,0,0,0
14,0,4.80597902238216e-06,0,0,0,0,0,5.7671748268586e-05,0,0,0,0,0,0.0340503613735776,0,0.000639195209976828,0,0,0,0,0.00022107503502958,0,0.00302776678410076,0,0,0,0,0
15,0,2.40298951119108e-05,0,0,0,0,0,0.000240298951119108,0,0,0,4.80597902238216e-06,0,0.0261204959866471,0,0.00164845080467708,0,0,0,0,0.000384478321790573,0,0.00326806573521987,0,0,0,0,0
16,0,6.72837063133503e-05,0,0,0,0,0,0.000567105524641095,0,0,0,0.000346030489611516,0,0.0295759949037398,0,0.00273460206373545,0,0,0,0,0.000384478321790573,0,0.00470985944193452,4.80597902238216e-06,0,0,0,0
17,0,0.000100925559470025,0,0,0,0,0,0.000668031084111121,0,0,0,0.0025327509447954,0,0.044580261411617,0,0.0034218570639361,0,0,0,0,0.000389284300812955,0,0.0044743664698378,4.80597902238216e-06,0,0,0,0
18,0,0.000461373986148688,0,0,0,0,0,0.000744926748469236,0,0,0,0.00799234311422154,0,0.0317723273169685,0,0.00330170758837655,0,0,0,0,0.000326806573521987,0,0.00550284598062758,0,0,0,0,0
19,3.84478321790573e-05,0.000985225699588344,0,0,0,0,0,0.000764150664558764,0,0,0,0.0185174371732385,0,0.0413602554666209,0,0.00369579786821188,0,0,0,0,0.000360448426678662,0,0.00359967828776424,1.44179370671465e-05,0,0,0,0
20,8.17016433804968e-05,0.00605553356820153,0,0,0,0,0,0.000898718077185465,0,0,0,0.109403306465508,0,0.0320943279114681,0,0.00356123045558518,0,0,0,0,0.000384478321790573,0,0.00403221639977864,0,0,0,0,0
21,0.000370060384723427,0.0148552811581833,0,0,0,0,0,0.00106212136394646,0,0,0,0.810307287089723,0,0.0399665215501301,0,0.00388323105008479,0,0,0,0,0.000312388636454841,0,0.0108038408423151,0,0,0,0,0
22,4.80597902238216e-06,0.0306044744145296,0,0,0,0,0,0.00124955454581936,0,0,0,1.28234574068908,0,0.0558791180932374,0,0.00368137993114474,0,0,0,0,0.000389284300812955,0,0.0311763859181931,3.84478321790573e-05,0,0,0,0
23,0,0.0157155514031897,0,0,0,0,0,0.00125916650386413,0,0,0,0.411449476064182,0,0.0354969610593147,0,0.00403221639977864,0,0,0,0,0.00046617996517107,0,0.00798273115617678,0,0,0,0,0
