,Gene,X1_1PP,X10_1KD,X10TB,X11DA_H,X11SLS,X12_2SST,X12HR,X13MF,X15BB,X16_2BP,X17LB,X18TD,X1WV,X2CW,X3RY,X4HB,X4MH,X5SW,X6_1PH,X6SB,X7_1GG,X7GH,X8CB,X8RP,X9CG,X9CW,XJB1
425,cfa-mir-8896.MIMAT0034404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,1
426,cfa-mir-8897.MIMAT0034405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,cfa-mir-8898.MIMAT0034408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
428,cfa-mir-8899.MIMAT0034409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,cfa-mir-8900.MIMAT0034410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,cfa-mir-8901.MIMAT0034411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,cfa-mir-8902.MIMAT0034412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,cfa-mir-8903.MIMAT0034414,0,0,1,1,1,0,2,1,0,2,3,0,0,0,0,1,0,1,2,0,2,2,4,1,1,0,3
433,cfa-mir-8904a.MIMAT0034417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,cfa-mir-8904b.MIMAT0034424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,cfa-mir-8905.MIMAT0034436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,cfa-mir-8906.MIMAT0034434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,cfa-mir-8907.MIMAT0034435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,cfa-mir-8908a.MIMAT0034428,0,0,4,3,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
439,cfa-mir-8908a.MIMAT0034429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,cfa-mir-8908b.MIMAT0034415,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
441,cfa-mir-8908c.MIMAT0034433,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,cfa-mir-8908d.MIMAT0034420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,cfa-mir-8908e.MIMAT0034426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,cfa-mir-8908f.MIMAT0034418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,cfa-mir-9.MIMAT0006674,6,11,41,37,5,3,37,14,2,4,94,20,6,1,14,111,27,56,38,0,22,26,5,231,13,4,10
446,cfa-mir-92a.MIMAT0006653,1775,1066,2951,1501,3266,3154,2612,1722,845,3358,7439,973,417,771,1455,5193,2468,2097,3593,889,1443,2473,969,7281,3677,406,801
447,cfa-mir-92b.MIMAT0006703,1,0,5,1,2,0,2,5,0,1,16,3,0,0,0,4,1,0,1,9,0,1,0,8,9,0,3
448,cfa-mir-93.MIMAT0006696,286,156,1120,1426,666,485,1218,937,24,262,835,583,16,32,413,1724,1171,1843,1454,18,1117,169,342,2637,508,20,291
449,cfa-mir-95.MIMAT0009878,4,5,15,32,10,13,33,126,1,18,144,20,3,1,34,75,28,26,35,5,26,32,14,78,19,2,11
450,cfa-mir-96.MIMAT0009861,2,20,26,21,6,2,29,14,6,2,18,47,4,0,5,27,24,55,17,2,54,16,2,66,15,0,13
451,cfa-mir-98.MIMAT0006756,408,569,1001,6697,166,826,1180,757,193,136,1514,1532,430,303,2494,1078,4101,2680,2494,120,2411,720,372,1842,280,154,1035
452,cfa-mir-99a.MIMAT0006668,9650,13265,19034,29628,9487,22210,27984,25653,5486,5334,74993,22803,3198,3273,34464,31362,42546,46935,39690,2939,36975,22856,11180,47869,10583,3061,22620
453,cfa-mir-99b.MIMAT0006607,572,205,607,278,400,501,1302,1446,799,806,4944,881,85,170,254,1331,346,396,646,578,357,1151,122,3226,538,79,1298
