, 104600
RPL18A, 262
CMBL, 261
SLC6A1, 261
LAMP1, 259
ST6GAL1, 258
ACSM4, 258
RPS8, 258
KMT2C, 258
MAT1A, 258
ARHGEF12, 258
RPS4X, 257
AQP9, 257
ECI2, 257
NFE2L2, 256
IPO7, 255
FGL1, 255
IL13RA1, 253
WNK1, 253
JAK1, 253
SETD2, 252
CLUH, 251
MYO1B, 251
ACADL, 251
SLC38A3, 251
VCAN, 250
SLC39A14, 250
PHF3, 250
ERAP1, 249
ARHGAP5, 249
CPN2, 248
ZNFX1, 248
SORT1, 247
ACSF2, 247
HSDL2, 247
ACLY, 247
IGFALS, 246
CTSH, 245
DIAPH1, 244
AMDHD1, 244
CAND1, 243
CTSL, 243
RPS9, 241
AFDN, 241
FBXW2, 241
COPB2, 240
UBR3, 240
SERPINA3, 239
LDLR, 238
HGFAC, 237
VNN1, 236
COL1A1, 236
GNE, 236
CTSS, 236
ERBB3, 235
TM9SF3, 235
NR3C1, 234
RPN1, 234
NIPBL, 234
SMG1, 233
SPEN, 233
CTSD, 232
ABCA8, 232
ATP8B1, 232
CD164, 232
CALD1, 231
SALL1, 230
GNS, 229
HGD, 228
ACOX1, 227
PDE4DIP, 227
KIAA1109, 227
ERRFI1, 227
PLXNB2, 227
GNMT, 226
PDGFRB, 226
SF3B1, 225
VCP, 225
NRP1, 225
PCK1, 224
CD47, 224
ATP5F1, 223
DLC1, 222
HSPA9, 221
RPL7A, 221
VPS13A, 221
PROX1, 220
CPD, 219
DHDH, 219
NUMA1, 218
TM9SF2, 216
BZW1, 216
TRANK1, 215
RB1CC1, 215
SORL1, 215
ACO1, 215
SURF4, 215
ELOVL6, 215
ASH1L, 214
PROC, 214
ECHS1, 214
STAB2, 214
BTD, 214
ARCN1, 214
WAPL, 213
AKAP13, 213
PARP14, 213
SLC30A1, 212
JMJD1C, 212
ASCC3, 212
GLG1, 212
PC, 211
SCARB2, 211
PECR, 211
SUCLG2, 211
REEP6, 210
GANAB, 210
ATRN, 210
MOGAT3, 209
PGM1, 209
C1QB, 209
PLA2G7, 208
BPHL, 208
DSG2, 207
TAX1BP1, 205
IQGAP1, 205
TEX2, 204
COBLL1, 204
CGNL1, 203
FLNB, 203
ENTPD5, 203
UHMK1, 203
SERINC1, 202
WDFY3, 202
ERBIN, 202
CCT5, 201
DDX5, 201
PDE3B, 201
MED13, 201
STT3B, 201
SNX19, 201
ATP2A2, 200
SHMT1, 199
LRBA, 198
MYCBP2, 198
USP34, 197
PGRMC1, 197
ARHGAP29, 197
ND5, 196
RXRA, 196
APLP2, 195
TMEM168, 194
SLC39A4, 194
