Gene	15BB
cfa-mir-23a.MIMAT0006640	139.691875
cfa-mir-23b.MIMAT0006612	123.976539
cfa-mir-24.MIMAT0006614	453.998593
cfa-mir-2483.MIMAT0034421	0.000000
cfa-mir-25.MIMAT0006697	656.551811
cfa-mir-26a.MIMAT0006595	5727.366861
cfa-mir-26b.MIMAT0006678	1753.133027
cfa-mir-27a.MIMAT0006641	151.914914
cfa-mir-27b.MIMAT0006613	1072.135138
cfa-mir-28.MIMAT0006675	970.858529
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	1021.496833
cfa-mir-29b.MIMAT0006625	289.860640
cfa-mir-29c.MIMAT0006705	5.238445
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	2315.392822
cfa-mir-30b.MIMAT0006617	71.592086
cfa-mir-30c.MIMAT0006605	642.582623
cfa-mir-30d.MIMAT0006616	6740.132952
cfa-mir-30e.MIMAT0006627	729.890045
cfa-mir-31.MIMAT0006599	8.730742
cfa-mir-32.MIMAT0006597	6.984594
cfa-mir-320.MIMAT0006658	654.805662
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	5.238445
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	5.238445
cfa-mir-328.MIMAT0006688	26.192226
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	3.492297
cfa-mir-331.MIMAT0009895	3.492297
cfa-mir-335.MIMAT0006624	0.000000
cfa-mir-338.MIMAT0006739	1.746148
cfa-mir-339-1.MIMAT0011134	6.984594
cfa-mir-33a.MIMAT0006593	0.000000
cfa-mir-33b.MIMAT0009862	0.000000
cfa-mir-340.MIMAT0009892	45.399859
cfa-mir-342.MIMAT0006709	43.653711
cfa-mir-345.MIMAT0006710	1.746148
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	6.984594
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	17.461484
cfa-mir-350.MIMAT0006704	0.000000
cfa-mir-361.MIMAT0006751	13.969187
cfa-mir-362.MIMAT0009886	3.492297
cfa-mir-363.MIMAT0006750	29.684523
cfa-mir-365.MIMAT0001540	106.515054
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	0.000000
cfa-mir-374a.MIMAT0006753	54.130601
cfa-mir-374b.MIMAT0006754	26.192226
cfa-mir-375.MIMAT0009871	1019.750685
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	4597.608824
cfa-mir-379.MIMAT0006715	6.984594
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	20.953781
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	0.000000
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.000000
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	0.000000
cfa-mir-421.MIMAT0006755	1.746148
cfa-mir-423a.MIMAT0006742	2647.161025
cfa-mir-424.MIMAT0006745	6.984594
cfa-mir-425.MIMAT0006639	34.922969
cfa-mir-429.MIMAT0001539	1.746148
cfa-mir-432.MIMAT0009904	0.000000
cfa-mir-433.MIMAT0006712	0.000000
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.000000
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	13.969187
cfa-mir-450b.MIMAT0006748	47.146008
cfa-mir-451.MIMAT0009870	939.427857
cfa-mir-452.MIMAT0009900	3.492297
cfa-mir-454.MIMAT0009927	0.000000
cfa-mir-455.MIMAT0006603	562.259795
cfa-mir-483.MIMAT0009901	6.984594
cfa-mir-485.MIMAT0006725	1.746148
cfa-mir-486.MIMAT0011132	1213.573161
cfa-mir-486.MIMAT0032036	10.476891
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.000000
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	0.000000
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	3.492297
cfa-mir-494.MIMAT0009905	0.000000
cfa-mir-495.MIMAT0006721	0.000000
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	8.730742
cfa-mir-499.MIMAT0006655	22.699930
cfa-mir-500.MIMAT0006759	45.399859
cfa-mir-502.MIMAT0006761	22.699930
cfa-mir-503.MIMAT0006746	5.238445
cfa-mir-504.MIMAT0009907	52.384453
cfa-mir-505.MIMAT0009908	1.746148
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	447.013999
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	5.238445
cfa-mir-543.MIMAT0006720	0.000000
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	0.000000
cfa-mir-551a.MIMAT0009912	0.000000
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	15.715336
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	0.000000
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	1.746148
cfa-mir-592.MIMAT0009918	0.000000
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.000000
cfa-mir-628.MIMAT0009921	0.000000
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.000000
cfa-mir-6516.MIMAT0034393	15.715336
cfa-mir-652.MIMAT0006743	19.207633
cfa-mir-6529.MIMAT0034278	6.984594
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	3.492297
cfa-mir-664.MIMAT0006680	0.000000
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	36.669117
cfa-mir-676.MIMAT0006762	6.984594
cfa-mir-7.MIMAT0006634	1622.171894
cfa-mir-708.MIMAT0006643	0.000000
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	6.984594
cfa-mir-758.MIMAT0009925	0.000000
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	0.000000
cfa-mir-802.MIMAT0009928	1.746148
cfa-mir-872.MIMAT0009940	0.000000
