Gene	7_1GG
cfa-mir-188.MIMAT0009880	1.573934
cfa-mir-18a.MIMAT0009832	9.443603
cfa-mir-18b.MIMAT0009831	0.786967
cfa-mir-190a.MIMAT0009872	3.541351
cfa-mir-190b.MIMAT0009873	7.082702
cfa-mir-191.MIMAT0006638	2930.664676
cfa-mir-192.MIMAT0006632	28577.915427
cfa-mir-193a.MIMAT0006735	72.794437
cfa-mir-193b.MIMAT0006699	7.476185
cfa-mir-194.MIMAT0006681	12829.134144
cfa-mir-195.MIMAT0006692	360.430833
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	0.393483
cfa-mir-197.MIMAT0006698	12.984954
cfa-mir-199.MIMAT0006642	9132.750689
cfa-mir-19a.MIMAT0006650	33.052609
cfa-mir-19b.MIMAT0006652	132.603920
cfa-mir-200a.MIMAT0009865	21.641589
cfa-mir-200b.MIMAT0009864	0.786967
cfa-mir-200c.MIMAT0006664	17.313271
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	228.613880
cfa-mir-204.MIMAT0006598	55.481165
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.393483
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.393483
cfa-mir-20a.MIMAT0006651	652.002063
cfa-mir-20b.MIMAT0009830	2.754384
cfa-mir-21.MIMAT0006741	36156.013037
cfa-mir-210.MIMAT0009846	2.754384
cfa-mir-211.MIMAT0009867	0.000000
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	0.000000
cfa-mir-214.MIMAT0009847	94.829510
cfa-mir-215.MIMAT0009848	96.796927
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	277.405827
cfa-mir-219-2.MIMAT0006729	1.573934
cfa-mir-219.MIMAT0006611	2.754384
cfa-mir-22.MIMAT0006733	7637.513610
cfa-mir-221.MIMAT0006757	1691.191834
cfa-mir-222.MIMAT0009851	855.826486
cfa-mir-223.MIMAT0009852	17.706755
cfa-mir-224.MIMAT0006744	13.378437
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	412.370647
cfa-mir-23b.MIMAT0006612	273.864476
cfa-mir-24.MIMAT0006614	1361.059226
cfa-mir-2483.MIMAT0034421	3.147868
cfa-mir-25.MIMAT0006697	701.187494
cfa-mir-26a.MIMAT0006595	28907.261068
cfa-mir-26b.MIMAT0006678	21100.156095
cfa-mir-27a.MIMAT0006641	987.643439
cfa-mir-27b.MIMAT0006613	7453.756842
cfa-mir-28.MIMAT0006675	397.811760
cfa-mir-299.MIMAT0009885	0.393483
cfa-mir-29a.MIMAT0006626	6226.088503
cfa-mir-29b.MIMAT0006625	1581.803437
cfa-mir-29c.MIMAT0006705	99.157827
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	1.180450
cfa-mir-301b.MIMAT0009854	0.393483
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	10347.434075
cfa-mir-30b.MIMAT0006617	1237.111942
cfa-mir-30c.MIMAT0006605	2916.892756
cfa-mir-30d.MIMAT0006616	7668.598802
cfa-mir-30e.MIMAT0006627	339.576210
cfa-mir-31.MIMAT0006599	94.829510
cfa-mir-32.MIMAT0006597	211.300608
cfa-mir-320.MIMAT0006658	390.335574
cfa-mir-323.MIMAT0006718	0.786967
cfa-mir-324.MIMAT0009896	2.754384
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	3.934834
cfa-mir-328.MIMAT0006688	9.837086
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	0.786967
cfa-mir-331.MIMAT0009895	16.919788
cfa-mir-335.MIMAT0006624	3.541351
cfa-mir-338.MIMAT0006739	21.248106
cfa-mir-339-1.MIMAT0011134	162.508662
cfa-mir-33a.MIMAT0006593	3.934834
cfa-mir-33b.MIMAT0009862	0.393483
cfa-mir-340.MIMAT0009892	762.177427
cfa-mir-342.MIMAT0006709	35.020026
cfa-mir-345.MIMAT0006710	0.393483
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	48.398463
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	1.180450
cfa-mir-350.MIMAT0006704	6.295735
cfa-mir-361.MIMAT0006751	78.303205
cfa-mir-362.MIMAT0009886	144.408423
cfa-mir-363.MIMAT0006750	57.842066
cfa-mir-365.MIMAT0001540	430.077402
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.393483
cfa-mir-371.MIMAT0007747	1.573934
cfa-mir-374a.MIMAT0006753	693.317825
cfa-mir-374b.MIMAT0006754	369.874435
cfa-mir-375.MIMAT0009871	1377.585531
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	6306.359125
cfa-mir-379.MIMAT0006715	3.147868
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	14.558887
cfa-mir-382.MIMAT0006724	0.393483
cfa-mir-383.MIMAT0006629	0.000000
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	1.180450
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.393483
