Gene	11DA_H
cfa-let-7a.MIMAT0006594	41602
cfa-let-7b.MIMAT0009836	24864
cfa-let-7c.MIMAT0006669	14779
cfa-let-7d.MIMAT0034396	10
cfa-let-7e.MIMAT0006608	552
cfa-let-7f.MIMAT0006610	78100
cfa-let-7g.MIMAT0006637	87166
cfa-let-7j.MIMAT0006763	0
cfa-mir-1.MIMAT0006656	282
cfa-mir-101.MIMAT0006600	34170
cfa-mir-103.MIMAT0006687	5184
cfa-mir-105a.MIMAT0009879	3
cfa-mir-105b.MIMAT0010198	0
cfa-mir-106a.MIMAT0006749	14
cfa-mir-106b.MIMAT0006695	354
cfa-mir-107.MIMAT0006666	1043
cfa-mir-10a.MIMAT0006737	26144
cfa-mir-10b.MIMAT0009837	960
cfa-mir-1185.MIMAT0034383	0
cfa-mir-1199.MIMAT0031123	0
cfa-mir-1199.MIMAT0031124	0
cfa-mir-122.MIMAT0006619	1676448
cfa-mir-124.MIMAT0006657	0
cfa-mir-1249.MIMAT0034321	12
cfa-mir-125a.MIMAT0006609	719
cfa-mir-125b.MIMAT0006670	2955
cfa-mir-126.MIMAT0006730	1027
cfa-mir-127.MIMAT0006713	6
cfa-mir-1271.MIMAT0006685	41
cfa-mir-128.MIMAT0006633	3863
cfa-mir-129.MIMAT0006623	7
cfa-mir-1296.MIMAT0034413	1
cfa-mir-1301.MIMAT0034337	17
cfa-mir-1306.MIMAT0006661	23
cfa-mir-1307.MIMAT0006665	196
cfa-mir-130a.MIMAT0006631	172
cfa-mir-130b.MIMAT0006659	3
cfa-mir-132.MIMAT0006732	3
cfa-mir-133a.MIMAT0009834	20
cfa-mir-133b.MIMAT0009835	0
cfa-mir-133c.MIMAT0009833	20
cfa-mir-134.MIMAT0009883	1
cfa-mir-1343.MIMAT0034357	10
cfa-mir-135a-2.MIMAT0006628	1
cfa-mir-135a.MIMAT0010196	293
cfa-mir-135b.MIMAT0009839	17
cfa-mir-136.MIMAT0006714	2
cfa-mir-137.MIMAT0006702	2
cfa-mir-138a.MIMAT0006654	2
cfa-mir-138b.MIMAT0006646	0
cfa-mir-139.MIMAT0006645	14
cfa-mir-140.MIMAT0006689	938
cfa-mir-141.MIMAT0009876	0
cfa-mir-142.MIMAT0006736	914
cfa-mir-143.MIMAT0006682	39212
cfa-mir-144.MIMAT0006734	162
cfa-mir-145.MIMAT0009863	1897
cfa-mir-1468.MIMAT0034423	8
cfa-mir-146a.MIMAT0006684	2661
cfa-mir-146b.MIMAT0006667	2179
cfa-mir-147.MIMAT0009874	2
cfa-mir-148a.MIMAT0006622	1426958
cfa-mir-148b.MIMAT0006663	1065
cfa-mir-149.MIMAT0009884	9
cfa-mir-150.MIMAT0006602	39
cfa-mir-151.MIMAT0006615	2201
cfa-mir-152.MIMAT0006738	724
cfa-mir-153.MIMAT0009840	48
cfa-mir-155.MIMAT0006671	911
cfa-mir-15a.MIMAT0006647	187
cfa-mir-15b.MIMAT0006676	55
cfa-mir-16.MIMAT0006648	2489
cfa-mir-17.MIMAT0006649	14
cfa-mir-181a.MIMAT0006707	6993
cfa-mir-181b.MIMAT0006708	1760
cfa-mir-181c.MIMAT0006635	15
cfa-mir-181d.MIMAT0006636	78
cfa-mir-182.MIMAT0009841	71
cfa-mir-183.MIMAT0006621	16
cfa-mir-1835.MIMAT0006596	1
cfa-mir-1836.MIMAT0006618	101
cfa-mir-1837.MIMAT0006630	6
cfa-mir-1838.MIMAT0006644	1
cfa-mir-1839.MIMAT0006677	121
cfa-mir-184.MIMAT0009842	0
cfa-mir-1840.MIMAT0006679	1
cfa-mir-1841.MIMAT0006686	2
cfa-mir-1842.MIMAT0006701	7
cfa-mir-1843.MIMAT0006706	1
cfa-mir-1844.MIMAT0006740	0
cfa-mir-185.MIMAT0006660	455
cfa-mir-186.MIMAT0006694	7353
cfa-mir-187.MIMAT0009843	2
cfa-mir-188.MIMAT0009880	9
cfa-mir-18a.MIMAT0009832	21
cfa-mir-18b.MIMAT0009831	1
cfa-mir-190a.MIMAT0009872	7
cfa-mir-190b.MIMAT0009873	33
cfa-mir-191.MIMAT0006638	14626
cfa-mir-192.MIMAT0006632	80890
cfa-mir-193a.MIMAT0006735	290
cfa-mir-193b.MIMAT0006699	26
cfa-mir-194.MIMAT0006681	51528
cfa-mir-195.MIMAT0006692	672
cfa-mir-196a.MIMAT0006662	0
cfa-mir-196b.MIMAT0006620	8
cfa-mir-197.MIMAT0006698	15
cfa-mir-199.MIMAT0006642	21126
cfa-mir-19a.MIMAT0006650	120
cfa-mir-19b.MIMAT0006652	395
cfa-mir-200a.MIMAT0009865	102
cfa-mir-200b.MIMAT0009864	5
cfa-mir-200c.MIMAT0006664	10
cfa-mir-202.MIMAT0009844	0
cfa-mir-203.MIMAT0009866	1183
cfa-mir-204.MIMAT0006598	181
cfa-mir-205.MIMAT0009845	0
cfa-mir-206.MIMAT0006606	1
cfa-mir-207.MIMAT0009935	0
cfa-mir-208a.MIMAT0009868	0
cfa-mir-208b.MIMAT0009869	0
cfa-mir-20a.MIMAT0006651	1784
cfa-mir-20b.MIMAT0009830	9
cfa-mir-21.MIMAT0006741	120481
cfa-mir-210.MIMAT0009846	30
cfa-mir-211.MIMAT0009867	0
cfa-mir-2114.MIMAT0034427	0
cfa-mir-212.MIMAT0006731	3
cfa-mir-214.MIMAT0009847	192
cfa-mir-215.MIMAT0009848	219
cfa-mir-216a.MIMAT0009849	0
cfa-mir-216b.MIMAT0006592	0
cfa-mir-217.MIMAT0009850	0
cfa-mir-218.MIMAT0006672	799
cfa-mir-219-2.MIMAT0006729	1
cfa-mir-219.MIMAT0006611	1
cfa-mir-22.MIMAT0006733	31745
cfa-mir-221.MIMAT0006757	6832
cfa-mir-222.MIMAT0009851	3747
cfa-mir-223.MIMAT0009852	52
cfa-mir-224.MIMAT0006744	19
cfa-mir-2387.MIMAT0034370	0
cfa-mir-23a.MIMAT0006640	535
cfa-mir-23b.MIMAT0006612	545
cfa-mir-24.MIMAT0006614	5792
cfa-mir-2483.MIMAT0034421	0
cfa-mir-25.MIMAT0006697	3338
cfa-mir-26a.MIMAT0006595	136345
cfa-mir-26b.MIMAT0006678	58840
cfa-mir-27a.MIMAT0006641	2859
cfa-mir-27b.MIMAT0006613	17222
cfa-mir-28.MIMAT0006675	970
cfa-mir-299.MIMAT0009885	1
cfa-mir-29a.MIMAT0006626	12845
cfa-mir-29b.MIMAT0006625	2670
cfa-mir-29c.MIMAT0006705	88
cfa-mir-300.MIMAT0009929	0
cfa-mir-301a.MIMAT0009853	6
cfa-mir-301b.MIMAT0009854	2
cfa-mir-302a.MIMAT0009855	1
cfa-mir-302b.MIMAT0009856	0
cfa-mir-302c.MIMAT0009857	0
cfa-mir-302d.MIMAT0009858	0
cfa-mir-30a.MIMAT0006604	30785
cfa-mir-30b.MIMAT0006617	1519
cfa-mir-30c.MIMAT0006605	4049
cfa-mir-30d.MIMAT0006616	31814
cfa-mir-30e.MIMAT0006627	1390
cfa-mir-31.MIMAT0006599	68
cfa-mir-32.MIMAT0006597	852
cfa-mir-320.MIMAT0006658	2270
cfa-mir-323.MIMAT0006718	0
cfa-mir-324.MIMAT0009896	4
cfa-mir-325.MIMAT0009897	0
cfa-mir-326.MIMAT0009894	9
cfa-mir-328.MIMAT0006688	35
cfa-mir-329a.MIMAT0006719	0
