Gene	8CB
cfa-mir-15a.MIMAT0006647	121.619837
cfa-mir-15b.MIMAT0006676	83.396460
cfa-mir-16.MIMAT0006648	1984.140773
cfa-mir-17.MIMAT0006649	3.474852
cfa-mir-181a.MIMAT0006707	2008.464741
cfa-mir-181b.MIMAT0006708	693.233072
cfa-mir-181c.MIMAT0006635	5.212279
cfa-mir-181d.MIMAT0006636	24.323967
cfa-mir-182.MIMAT0009841	45.173082
cfa-mir-183.MIMAT0006621	6.949705
cfa-mir-1835.MIMAT0006596	0.000000
cfa-mir-1836.MIMAT0006618	156.368362
cfa-mir-1837.MIMAT0006630	26.061394
cfa-mir-1838.MIMAT0006644	0.000000
cfa-mir-1839.MIMAT0006677	46.910509
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	3.474852
cfa-mir-1841.MIMAT0006686	6.949705
cfa-mir-1842.MIMAT0006701	13.899410
cfa-mir-1843.MIMAT0006706	57.335066
cfa-mir-1844.MIMAT0006740	1.737426
cfa-mir-185.MIMAT0006660	145.943805
cfa-mir-186.MIMAT0006694	1952.867101
cfa-mir-187.MIMAT0009843	0.000000
cfa-mir-188.MIMAT0009880	1.737426
cfa-mir-18a.MIMAT0009832	33.011099
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	3.474852
cfa-mir-190b.MIMAT0009873	1.737426
cfa-mir-191.MIMAT0006638	4798.771292
cfa-mir-192.MIMAT0006632	21102.779187
cfa-mir-193a.MIMAT0006735	175.480051
cfa-mir-193b.MIMAT0006699	15.636836
cfa-mir-194.MIMAT0006681	12985.523765
cfa-mir-195.MIMAT0006692	406.557742
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	1.737426
cfa-mir-197.MIMAT0006698	53.860214
cfa-mir-199.MIMAT0006642	9107.588383
cfa-mir-19a.MIMAT0006650	27.798820
cfa-mir-19b.MIMAT0006652	196.329166
cfa-mir-200a.MIMAT0009865	12.161984
cfa-mir-200b.MIMAT0009864	0.000000
cfa-mir-200c.MIMAT0006664	10.424557
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	182.429756
cfa-mir-204.MIMAT0006598	100.770722
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	0.000000
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
cfa-mir-208b.MIMAT0009869	0.000000
cfa-mir-20a.MIMAT0006651	1144.963896
cfa-mir-20b.MIMAT0009830	3.474852
cfa-mir-21.MIMAT0006741	16844.347457
cfa-mir-210.MIMAT0009846	1.737426
cfa-mir-211.MIMAT0009867	1.737426
cfa-mir-2114.MIMAT0034427	0.000000
cfa-mir-212.MIMAT0006731	0.000000
cfa-mir-214.MIMAT0009847	218.915707
cfa-mir-215.MIMAT0009848	13.899410
cfa-mir-216a.MIMAT0009849	0.000000
cfa-mir-216b.MIMAT0006592	0.000000
cfa-mir-217.MIMAT0009850	0.000000
cfa-mir-218.MIMAT0006672	133.781821
cfa-mir-219-2.MIMAT0006729	0.000000
cfa-mir-219.MIMAT0006611	3.474852
cfa-mir-22.MIMAT0006733	5055.910377
cfa-mir-221.MIMAT0006757	2192.631923
cfa-mir-222.MIMAT0009851	1713.102279
cfa-mir-223.MIMAT0009852	46.910509
cfa-mir-224.MIMAT0006744	13.899410
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	663.696826
cfa-mir-23b.MIMAT0006612	590.724924
