Gene	8RP
cfa-mir-134.MIMAT0009883	0.000000
cfa-mir-1343.MIMAT0034357	22.794649
cfa-mir-135a-2.MIMAT0006628	9.241074
cfa-mir-135a.MIMAT0010196	449.116184
cfa-mir-135b.MIMAT0009839	13.553575
cfa-mir-136.MIMAT0006714	0.000000
cfa-mir-137.MIMAT0006702	0.000000
cfa-mir-138a.MIMAT0006654	5.544644
cfa-mir-138b.MIMAT0006646	0.616072
cfa-mir-139.MIMAT0006645	30.187508
cfa-mir-140.MIMAT0006689	1604.250401
cfa-mir-141.MIMAT0009876	11.089288
cfa-mir-142.MIMAT0006736	2352.777374
cfa-mir-143.MIMAT0006682	52995.093606
cfa-mir-144.MIMAT0006734	212.544696
cfa-mir-145.MIMAT0009863	7176.001794
cfa-mir-1468.MIMAT0034423	11.089288
cfa-mir-146a.MIMAT0006684	9830.038172
cfa-mir-146b.MIMAT0006667	431.866179
cfa-mir-147.MIMAT0009874	0.616072
cfa-mir-148a.MIMAT0006622	91863.665823
cfa-mir-148b.MIMAT0006663	1935.696912
cfa-mir-149.MIMAT0009884	19.098219
cfa-mir-150.MIMAT0006602	1277.116391
cfa-mir-151.MIMAT0006615	2834.545351
cfa-mir-152.MIMAT0006738	983.250246
cfa-mir-153.MIMAT0009840	9.857145
cfa-mir-155.MIMAT0006671	1216.741376
cfa-mir-15a.MIMAT0006647	492.241194
cfa-mir-15b.MIMAT0006676	477.455477
cfa-mir-16.MIMAT0006648	3740.170578
cfa-mir-17.MIMAT0006649	11.705360
cfa-mir-181a.MIMAT0006707	3892.956330
cfa-mir-181b.MIMAT0006708	1149.589573
cfa-mir-181c.MIMAT0006635	66.535731
cfa-mir-181d.MIMAT0006636	94.875024
cfa-mir-182.MIMAT0009841	207.616123
cfa-mir-183.MIMAT0006621	80.705377
cfa-mir-1835.MIMAT0006596	3.080358
cfa-mir-1836.MIMAT0006618	28.339293
cfa-mir-1837.MIMAT0006630	0.616072
cfa-mir-1838.MIMAT0006644	13.553575
cfa-mir-1839.MIMAT0006677	91.178594
cfa-mir-184.MIMAT0009842	1.232143
cfa-mir-1840.MIMAT0006679	3.696429
cfa-mir-1841.MIMAT0006686	1.848215
cfa-mir-1842.MIMAT0006701	12.937503
cfa-mir-1843.MIMAT0006706	30.803579
cfa-mir-1844.MIMAT0006740	2.464286
cfa-mir-185.MIMAT0006660	606.214437
cfa-mir-186.MIMAT0006694	6694.233816
cfa-mir-187.MIMAT0009843	1.848215
cfa-mir-188.MIMAT0009880	12.937503
cfa-mir-18a.MIMAT0009832	25.875006
cfa-mir-18b.MIMAT0009831	0.000000
cfa-mir-190a.MIMAT0009872	8.625002
cfa-mir-190b.MIMAT0009873	11.089288
cfa-mir-191.MIMAT0006638	8849.868284
cfa-mir-192.MIMAT0006632	13689.726637
cfa-mir-193a.MIMAT0006735	212.544696
cfa-mir-193b.MIMAT0006699	14.169646
cfa-mir-194.MIMAT0006681	8274.457426
cfa-mir-195.MIMAT0006692	1206.884230
cfa-mir-196a.MIMAT0006662	0.000000
cfa-mir-196b.MIMAT0006620	3.696429
cfa-mir-197.MIMAT0006698	154.017896
cfa-mir-199.MIMAT0006642	33631.347694
cfa-mir-19a.MIMAT0006650	27.723221
cfa-mir-19b.MIMAT0006652	304.339362
cfa-mir-200a.MIMAT0009865	50.517870
cfa-mir-200b.MIMAT0009864	14.785718
cfa-mir-200c.MIMAT0006664	258.133993
cfa-mir-202.MIMAT0009844	0.616072
cfa-mir-203.MIMAT0009866	188.517904
cfa-mir-204.MIMAT0006598	242.116132
cfa-mir-205.MIMAT0009845	0.000000
cfa-mir-206.MIMAT0006606	1.232143
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
