Gene	18TD
cfa-mir-144.MIMAT0006734	3.833739
cfa-mir-145.MIMAT0009863	11.044816
cfa-mir-1468.MIMAT0034423	0.248776
cfa-mir-146a.MIMAT0006684	12.507931
cfa-mir-146b.MIMAT0006667	10.971584
cfa-mir-147.MIMAT0009874	2.833739
cfa-mir-148a.MIMAT0006622	17.592933
cfa-mir-148b.MIMAT0006663	10.484790
cfa-mir-149.MIMAT0009884	3.418701
cfa-mir-150.MIMAT0006602	7.708208
cfa-mir-151.MIMAT0006615	9.758551
cfa-mir-152.MIMAT0006738	9.438601
cfa-mir-153.MIMAT0009840	3.418701
cfa-mir-155.MIMAT0006671	10.021915
cfa-mir-15a.MIMAT0006647	5.949216
cfa-mir-15b.MIMAT0006676	6.756571
cfa-mir-16.MIMAT0006648	10.276682
cfa-mir-17.MIMAT0006649	1.248776
cfa-mir-181a.MIMAT0006707	11.157169
cfa-mir-181b.MIMAT0006708	9.260004
cfa-mir-181c.MIMAT0006635	4.155667
cfa-mir-181d.MIMAT0006636	6.155667
cfa-mir-182.MIMAT0009841	8.482396
cfa-mir-183.MIMAT0006621	6.691720
cfa-mir-1835.MIMAT0006596	0.248776
cfa-mir-1836.MIMAT0006618	6.056131
cfa-mir-1837.MIMAT0006630	0.000000
cfa-mir-1838.MIMAT0006644	3.056131
cfa-mir-1839.MIMAT0006677	6.357301
cfa-mir-184.MIMAT0009842	0.000000
cfa-mir-1840.MIMAT0006679	1.833739
cfa-mir-1841.MIMAT0006686	1.833739
cfa-mir-1842.MIMAT0006701	1.833739
cfa-mir-1843.MIMAT0006706	4.056131
cfa-mir-1844.MIMAT0006740	0.248776
cfa-mir-185.MIMAT0006660	8.619464
cfa-mir-186.MIMAT0006694	12.068955
cfa-mir-187.MIMAT0009843	0.000000
cfa-mir-188.MIMAT0009880	1.833739
cfa-mir-18a.MIMAT0009832	2.833739
cfa-mir-18b.MIMAT0009831	1.248776
cfa-mir-190a.MIMAT0009872	0.248776
cfa-mir-190b.MIMAT0009873	2.570704
cfa-mir-191.MIMAT0006638	13.228380
cfa-mir-192.MIMAT0006632	13.732970
cfa-mir-193a.MIMAT0006735	6.935277
cfa-mir-193b.MIMAT0006699	3.248776
cfa-mir-194.MIMAT0006681	12.865325
cfa-mir-195.MIMAT0006692	9.033411
cfa-mir-196a.MIMAT0006662	1.248776
cfa-mir-196b.MIMAT0006620	1.248776
cfa-mir-197.MIMAT0006698	5.293170
cfa-mir-199.MIMAT0006642	13.862796
cfa-mir-19a.MIMAT0006650	4.418701
cfa-mir-19b.MIMAT0006652	6.863486
cfa-mir-200a.MIMAT0009865	5.606328
cfa-mir-200b.MIMAT0009864	3.708208
cfa-mir-200c.MIMAT0006664	6.106757
cfa-mir-202.MIMAT0009844	0.000000
cfa-mir-203.MIMAT0009866	7.438601
cfa-mir-204.MIMAT0006598	7.030136
cfa-mir-205.MIMAT0009845	0.248776
cfa-mir-206.MIMAT0006606	0.248776
cfa-mir-207.MIMAT0009935	0.000000
cfa-mir-208a.MIMAT0009868	0.000000
