Gene	12_2SST
cfa-mir-219-2.MIMAT0006729	2.055434
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	3945.062369
cfa-mir-221.MIMAT0006757	843.412952
cfa-mir-222.MIMAT0009851	1118.155920
cfa-mir-223.MIMAT0009852	13.702891
cfa-mir-224.MIMAT0006744	10.277168
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	420.678759
cfa-mir-23b.MIMAT0006612	327.499099
cfa-mir-24.MIMAT0006614	996.200188
cfa-mir-2483.MIMAT0034421	0.000000
cfa-mir-25.MIMAT0006697	1212.020724
cfa-mir-26a.MIMAT0006595	33141.127446
cfa-mir-26b.MIMAT0006678	11428.211238
cfa-mir-27a.MIMAT0006641	406.975868
cfa-mir-27b.MIMAT0006613	4952.910014
cfa-mir-28.MIMAT0006675	900.965095
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	2219.183225
cfa-mir-29b.MIMAT0006625	213.079958
cfa-mir-29c.MIMAT0006705	5.481156
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	5785.360653
cfa-mir-30b.MIMAT0006617	400.809567
cfa-mir-30c.MIMAT0006605	5203.672923
cfa-mir-30d.MIMAT0006616	12354.526682
cfa-mir-30e.MIMAT0006627	698.162305
cfa-mir-31.MIMAT0006599	15.758325
cfa-mir-32.MIMAT0006597	58.237287
cfa-mir-320.MIMAT0006658	971.534984
cfa-mir-323.MIMAT0006718	0.685145
cfa-mir-324.MIMAT0009896	2.740578
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	3.425723
cfa-mir-328.MIMAT0006688	30.146361
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	2.055434
cfa-mir-331.MIMAT0009895	13.017747
cfa-mir-335.MIMAT0006624	1.370289
cfa-mir-338.MIMAT0006739	6.851446
cfa-mir-339-1.MIMAT0011134	94.549949
cfa-mir-33a.MIMAT0006593	2.740578
cfa-mir-33b.MIMAT0009862	1.370289
cfa-mir-340.MIMAT0009892	302.833895
cfa-mir-342.MIMAT0006709	56.181854
cfa-mir-345.MIMAT0006710	1.370289
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	13.702891
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	0.000000
cfa-mir-350.MIMAT0006704	6.166301
cfa-mir-361.MIMAT0006751	54.811565
cfa-mir-362.MIMAT0009886	34.942372
cfa-mir-363.MIMAT0006750	60.977866
cfa-mir-365.MIMAT0001540	597.446055
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.685145
cfa-mir-371.MIMAT0007747	2.740578
cfa-mir-374a.MIMAT0006753	312.425919
cfa-mir-374b.MIMAT0006754	122.640876
cfa-mir-375.MIMAT0009871	1778.635274
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	6778.135119
cfa-mir-379.MIMAT0006715	4.796012
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	26.035493
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	1.370289
