Gene	13MF
cfa-mir-219.MIMAT0006611	0.000000
cfa-mir-22.MIMAT0006733	11.206934
cfa-mir-221.MIMAT0006757	12.059197
cfa-mir-222.MIMAT0009851	10.934546
cfa-mir-223.MIMAT0009852	5.740493
cfa-mir-224.MIMAT0006744	8.161957
cfa-mir-2387.MIMAT0034370	0.000000
cfa-mir-23a.MIMAT0006640	11.390519
cfa-mir-23b.MIMAT0006612	9.834005
cfa-mir-24.MIMAT0006614	11.734038
cfa-mir-2483.MIMAT0034421	4.103063
cfa-mir-25.MIMAT0006697	12.199339
cfa-mir-26a.MIMAT0006595	15.721550
cfa-mir-26b.MIMAT0006678	13.797518
cfa-mir-27a.MIMAT0006641	11.428993
cfa-mir-27b.MIMAT0006613	14.082250
cfa-mir-28.MIMAT0006675	10.082885
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	12.660633
cfa-mir-29b.MIMAT0006625	8.815781
cfa-mir-29c.MIMAT0006705	6.740493
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.933138
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	13.015952
cfa-mir-30b.MIMAT0006617	10.206934
cfa-mir-30c.MIMAT0006605	12.848270
cfa-mir-30d.MIMAT0006616	13.813678
cfa-mir-30e.MIMAT0006627	8.612618
cfa-mir-31.MIMAT0006599	8.525595
cfa-mir-32.MIMAT0006597	6.547848
cfa-mir-320.MIMAT0006658	11.140152
cfa-mir-323.MIMAT0006718	0.933138
cfa-mir-324.MIMAT0009896	2.518101
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	1.933138
cfa-mir-328.MIMAT0006688	4.840028
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	2.518101
cfa-mir-331.MIMAT0009895	5.456700
cfa-mir-335.MIMAT0006624	2.518101
cfa-mir-338.MIMAT0006739	2.933138
cfa-mir-339-1.MIMAT0011134	8.881505
cfa-mir-33a.MIMAT0006593	0.933138
cfa-mir-33b.MIMAT0009862	0.000000
cfa-mir-340.MIMAT0009892	10.303825
cfa-mir-342.MIMAT0006709	6.456700
cfa-mir-345.MIMAT0006710	0.000000
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	8.152306
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	3.518100
cfa-mir-350.MIMAT0006704	4.840028
cfa-mir-361.MIMAT0006751	7.456700
cfa-mir-362.MIMAT0009886	6.791119
cfa-mir-363.MIMAT0006750	7.122962
cfa-mir-365.MIMAT0001540	8.667848
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	1.933138
cfa-mir-371.MIMAT0007747	3.740493
cfa-mir-374a.MIMAT0006753	9.677972
cfa-mir-374b.MIMAT0006754	8.688025
cfa-mir-375.MIMAT0009871	8.753317
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	12.077159
cfa-mir-379.MIMAT0006715	4.633578
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	5.456700
cfa-mir-382.MIMAT0006724	2.933138
cfa-mir-383.MIMAT0006629	4.103063
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	0.000000
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	4.392570
