Gene	13MF
cfa-let-7a.MIMAT0006594	15386
cfa-let-7b.MIMAT0009836	8230
cfa-let-7c.MIMAT0006669	2464
cfa-let-7d.MIMAT0034396	100
cfa-let-7e.MIMAT0006608	1374
cfa-let-7f.MIMAT0006610	13564
cfa-let-7g.MIMAT0006637	24833
cfa-let-7j.MIMAT0006763	0
cfa-mir-1.MIMAT0006656	184
cfa-mir-101.MIMAT0006600	1324
cfa-mir-103.MIMAT0006687	2138
cfa-mir-105a.MIMAT0009879	2
cfa-mir-105b.MIMAT0010198	0
cfa-mir-106a.MIMAT0006749	11
cfa-mir-106b.MIMAT0006695	66
cfa-mir-107.MIMAT0006666	223
cfa-mir-10a.MIMAT0006737	6536
cfa-mir-10b.MIMAT0009837	2134
cfa-mir-1185.MIMAT0034383	0
cfa-mir-1199.MIMAT0031123	0
cfa-mir-1199.MIMAT0031124	0
cfa-mir-122.MIMAT0006619	117042
cfa-mir-124.MIMAT0006657	0
cfa-mir-1249.MIMAT0034321	8
cfa-mir-125a.MIMAT0006609	5374
cfa-mir-125b.MIMAT0006670	4958
cfa-mir-126.MIMAT0006730	263
cfa-mir-127.MIMAT0006713	22
cfa-mir-1271.MIMAT0006685	113
cfa-mir-128.MIMAT0006633	1024
cfa-mir-129.MIMAT0006623	20
cfa-mir-1296.MIMAT0034413	0
cfa-mir-1301.MIMAT0034337	24
cfa-mir-1306.MIMAT0006661	10
cfa-mir-1307.MIMAT0006665	26
cfa-mir-130a.MIMAT0006631	41
cfa-mir-130b.MIMAT0006659	1
cfa-mir-132.MIMAT0006732	12
cfa-mir-133a.MIMAT0009834	26
cfa-mir-133b.MIMAT0009835	0
cfa-mir-133c.MIMAT0009833	26
cfa-mir-134.MIMAT0009883	2
cfa-mir-1343.MIMAT0034357	10
cfa-mir-135a-2.MIMAT0006628	4
cfa-mir-135a.MIMAT0010196	67
cfa-mir-135b.MIMAT0009839	4
cfa-mir-136.MIMAT0006714	0
cfa-mir-137.MIMAT0006702	1
cfa-mir-138a.MIMAT0006654	0
cfa-mir-138b.MIMAT0006646	0
cfa-mir-139.MIMAT0006645	12
cfa-mir-140.MIMAT0006689	701
cfa-mir-141.MIMAT0009876	3
cfa-mir-142.MIMAT0006736	858
cfa-mir-143.MIMAT0006682	17845
cfa-mir-144.MIMAT0006734	152
cfa-mir-145.MIMAT0009863	2198
cfa-mir-1468.MIMAT0034423	2
cfa-mir-146a.MIMAT0006684	3438
cfa-mir-146b.MIMAT0006667	857
cfa-mir-147.MIMAT0009874	1
cfa-mir-148a.MIMAT0006622	26738
cfa-mir-148b.MIMAT0006663	745
cfa-mir-149.MIMAT0009884	14
cfa-mir-150.MIMAT0006602	70
cfa-mir-151.MIMAT0006615	270
cfa-mir-152.MIMAT0006738	769
cfa-mir-153.MIMAT0009840	2
cfa-mir-155.MIMAT0006671	528
cfa-mir-15a.MIMAT0006647	29
cfa-mir-15b.MIMAT0006676	255
cfa-mir-16.MIMAT0006648	881
cfa-mir-17.MIMAT0006649	4
cfa-mir-181a.MIMAT0006707	2384
cfa-mir-181b.MIMAT0006708	658
cfa-mir-181c.MIMAT0006635	7
cfa-mir-181d.MIMAT0006636	63
cfa-mir-182.MIMAT0009841	269
cfa-mir-183.MIMAT0006621	117
cfa-mir-1835.MIMAT0006596	0
cfa-mir-1836.MIMAT0006618	52
cfa-mir-1837.MIMAT0006630	0
cfa-mir-1838.MIMAT0006644	3
cfa-mir-1839.MIMAT0006677	51
cfa-mir-184.MIMAT0009842	0
cfa-mir-1840.MIMAT0006679	2
cfa-mir-1841.MIMAT0006686	1
cfa-mir-1842.MIMAT0006701	1
cfa-mir-1843.MIMAT0006706	25
cfa-mir-1844.MIMAT0006740	1
cfa-mir-185.MIMAT0006660	448
cfa-mir-186.MIMAT0006694	2334
cfa-mir-187.MIMAT0009843	3
cfa-mir-188.MIMAT0009880	2
cfa-mir-18a.MIMAT0009832	11
cfa-mir-18b.MIMAT0009831	0
cfa-mir-190a.MIMAT0009872	0
cfa-mir-190b.MIMAT0009873	7
cfa-mir-191.MIMAT0006638	8981
cfa-mir-192.MIMAT0006632	5174
cfa-mir-193a.MIMAT0006735	233
cfa-mir-193b.MIMAT0006699	4
cfa-mir-194.MIMAT0006681	2082
cfa-mir-195.MIMAT0006692	627
cfa-mir-196a.MIMAT0006662	0
cfa-mir-196b.MIMAT0006620	1
cfa-mir-197.MIMAT0006698	47
cfa-mir-199.MIMAT0006642	27440
cfa-mir-19a.MIMAT0006650	13
cfa-mir-19b.MIMAT0006652	81
cfa-mir-200a.MIMAT0009865	43
cfa-mir-200b.MIMAT0009864	34
cfa-mir-200c.MIMAT0006664	243
cfa-mir-202.MIMAT0009844	0
cfa-mir-203.MIMAT0009866	158
cfa-mir-204.MIMAT0006598	124
cfa-mir-205.MIMAT0009845	0
cfa-mir-206.MIMAT0006606	0
cfa-mir-207.MIMAT0009935	0
