Gene	3RY
cfa-mir-2387.MIMAT0034370	0.245913
cfa-mir-23a.MIMAT0006640	7.357918
cfa-mir-23b.MIMAT0006612	6.899355
cfa-mir-24.MIMAT0006614	10.274740
cfa-mir-2483.MIMAT0034421	1.468305
cfa-mir-25.MIMAT0006697	9.461041
cfa-mir-26a.MIMAT0006595	14.961303
cfa-mir-26b.MIMAT0006678	13.612190
cfa-mir-27a.MIMAT0006641	9.579068
cfa-mir-27b.MIMAT0006613	11.841015
cfa-mir-28.MIMAT0006675	7.953272
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	11.465888
cfa-mir-29b.MIMAT0006625	10.337789
cfa-mir-29c.MIMAT0006705	5.555768
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	-1.339049
cfa-mir-301b.MIMAT0009854	0.000000
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	12.231281
cfa-mir-30b.MIMAT0006617	8.251537
cfa-mir-30c.MIMAT0006605	10.657424
cfa-mir-30d.MIMAT0006616	12.451706
cfa-mir-30e.MIMAT0006627	8.863074
cfa-mir-31.MIMAT0006599	3.304807
cfa-mir-32.MIMAT0006597	8.066092
cfa-mir-320.MIMAT0006658	8.804334
cfa-mir-323.MIMAT0006718	-1.339049
cfa-mir-324.MIMAT0009896	-1.339049
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	1.468305
cfa-mir-328.MIMAT0006688	2.830876
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.000000
cfa-mir-330.MIMAT0009893	1.830876
cfa-mir-331.MIMAT0009895	2.830876
cfa-mir-335.MIMAT0006624	0.000000
cfa-mir-338.MIMAT0006739	4.333376
cfa-mir-339-1.MIMAT0011134	4.850775
cfa-mir-33a.MIMAT0006593	0.660951
cfa-mir-33b.MIMAT0009862	0.660951
cfa-mir-340.MIMAT0009892	8.385464
cfa-mir-342.MIMAT0006709	3.567841
cfa-mir-345.MIMAT0006710	-1.339049
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	4.388871
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	0.000000
cfa-mir-350.MIMAT0006704	1.468305
cfa-mir-361.MIMAT0006751	5.230806
cfa-mir-362.MIMAT0009886	5.810698
cfa-mir-363.MIMAT0006750	6.415838
cfa-mir-365.MIMAT0001540	6.764238
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	-0.339049
cfa-mir-371.MIMAT0007747	1.245913
cfa-mir-374a.MIMAT0006753	8.756347
cfa-mir-374b.MIMAT0006754	6.660950
cfa-mir-375.MIMAT0009871	10.725356
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	12.030957
cfa-mir-379.MIMAT0006715	0.982879
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	3.567841
cfa-mir-382.MIMAT0006724	-1.339049
cfa-mir-383.MIMAT0006629	0.000000
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	-0.339049
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	2.245913
cfa-mir-421.MIMAT0006755	1.660951
cfa-mir-423a.MIMAT0006742	8.209772
cfa-mir-424.MIMAT0006745	3.184512
cfa-mir-425.MIMAT0006639	6.215539
cfa-mir-429.MIMAT0001539	4.361390
cfa-mir-432.MIMAT0009904	0.000000
cfa-mir-433.MIMAT0006712	0.000000
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.000000
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	6.950969
cfa-mir-450b.MIMAT0006748	6.215539
cfa-mir-451.MIMAT0009870	11.512114
cfa-mir-452.MIMAT0009900	3.468305
cfa-mir-454.MIMAT0009927	0.245913
cfa-mir-455.MIMAT0006603	10.163285
cfa-mir-483.MIMAT0009901	0.982879
cfa-mir-485.MIMAT0006725	-1.339049
cfa-mir-486.MIMAT0011132	7.108034
cfa-mir-486.MIMAT0032036	1.830876
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.000000
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	1.830876
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	-1.339049
cfa-mir-494.MIMAT0009905	0.660951
cfa-mir-495.MIMAT0006721	-1.339049
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	6.128556
cfa-mir-499.MIMAT0006655	7.319162
cfa-mir-500.MIMAT0006759	5.567841
cfa-mir-502.MIMAT0006761	5.649635
cfa-mir-503.MIMAT0006746	2.830876
cfa-mir-504.MIMAT0009907	2.120382
cfa-mir-505.MIMAT0009908	2.468305
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	-1.339049
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	9.196226
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	4.275660
cfa-mir-543.MIMAT0006720	-1.339049
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	-1.339049
cfa-mir-551a.MIMAT0009912	2.468305
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	2.120382
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	0.000000
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	5.927737
cfa-mir-592.MIMAT0009918	1.245913
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.000000
cfa-mir-628.MIMAT0009921	1.830876
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.000000
cfa-mir-6516.MIMAT0034393	3.748413
cfa-mir-652.MIMAT0006743	4.850775
cfa-mir-6529.MIMAT0034278	2.567841
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	5.200109
cfa-mir-664.MIMAT0006680	-0.339049
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	1.245913
cfa-mir-676.MIMAT0006762	0.245913
cfa-mir-7.MIMAT0006634	11.072461
cfa-mir-708.MIMAT0006643	2.982879
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	1.468305
cfa-mir-758.MIMAT0009925	-1.339049
