Gene	12HR
cfa-let-7a.MIMAT0006594	18308
cfa-let-7b.MIMAT0009836	7730
cfa-let-7c.MIMAT0006669	2429
cfa-let-7d.MIMAT0034396	106
cfa-let-7e.MIMAT0006608	669
cfa-let-7f.MIMAT0006610	20145
cfa-let-7g.MIMAT0006637	37797
cfa-let-7j.MIMAT0006763	0
cfa-mir-1.MIMAT0006656	192
cfa-mir-101.MIMAT0006600	4308
cfa-mir-103.MIMAT0006687	2472
cfa-mir-105a.MIMAT0009879	2
cfa-mir-105b.MIMAT0010198	1
cfa-mir-106a.MIMAT0006749	24
cfa-mir-106b.MIMAT0006695	177
cfa-mir-107.MIMAT0006666	457
cfa-mir-10a.MIMAT0006737	20204
cfa-mir-10b.MIMAT0009837	2671
cfa-mir-1185.MIMAT0034383	0
cfa-mir-1199.MIMAT0031123	0
cfa-mir-1199.MIMAT0031124	0
cfa-mir-122.MIMAT0006619	311419
cfa-mir-124.MIMAT0006657	0
cfa-mir-1249.MIMAT0034321	20
cfa-mir-125a.MIMAT0006609	4138
cfa-mir-125b.MIMAT0006670	4828
cfa-mir-126.MIMAT0006730	468
cfa-mir-127.MIMAT0006713	4
cfa-mir-1271.MIMAT0006685	113
cfa-mir-128.MIMAT0006633	1972
cfa-mir-129.MIMAT0006623	2
cfa-mir-1296.MIMAT0034413	8
cfa-mir-1301.MIMAT0034337	25
cfa-mir-1306.MIMAT0006661	9
cfa-mir-1307.MIMAT0006665	153
cfa-mir-130a.MIMAT0006631	69
cfa-mir-130b.MIMAT0006659	5
cfa-mir-132.MIMAT0006732	21
cfa-mir-133a.MIMAT0009834	30
cfa-mir-133b.MIMAT0009835	0
cfa-mir-133c.MIMAT0009833	30
cfa-mir-134.MIMAT0009883	1
cfa-mir-1343.MIMAT0034357	9
cfa-mir-135a-2.MIMAT0006628	4
cfa-mir-135a.MIMAT0010196	253
cfa-mir-135b.MIMAT0009839	8
cfa-mir-136.MIMAT0006714	0
cfa-mir-137.MIMAT0006702	0
cfa-mir-138a.MIMAT0006654	0
cfa-mir-138b.MIMAT0006646	0
cfa-mir-139.MIMAT0006645	11
cfa-mir-140.MIMAT0006689	1126
cfa-mir-141.MIMAT0009876	3
cfa-mir-142.MIMAT0006736	1120
cfa-mir-143.MIMAT0006682	32292
cfa-mir-144.MIMAT0006734	12
cfa-mir-145.MIMAT0009863	4039
cfa-mir-1468.MIMAT0034423	8
cfa-mir-146a.MIMAT0006684	7972
cfa-mir-146b.MIMAT0006667	415
cfa-mir-147.MIMAT0009874	0
cfa-mir-148a.MIMAT0006622	155927
cfa-mir-148b.MIMAT0006663	1247
cfa-mir-149.MIMAT0009884	13
cfa-mir-150.MIMAT0006602	618
cfa-mir-151.MIMAT0006615	759
cfa-mir-152.MIMAT0006738	469
cfa-mir-153.MIMAT0009840	4
cfa-mir-155.MIMAT0006671	1144
cfa-mir-15a.MIMAT0006647	79
cfa-mir-15b.MIMAT0006676	263
cfa-mir-16.MIMAT0006648	1770
cfa-mir-17.MIMAT0006649	4
cfa-mir-181a.MIMAT0006707	3380
cfa-mir-181b.MIMAT0006708	871
cfa-mir-181c.MIMAT0006635	13
cfa-mir-181d.MIMAT0006636	40
