Gene	12HR
cfa-mir-222.MIMAT0009851	3226.125796
cfa-mir-223.MIMAT0009852	50.468875
cfa-mir-224.MIMAT0006744	55.321652
cfa-mir-2387.MIMAT0034370	0.970555
cfa-mir-23a.MIMAT0006640	1871.230606
cfa-mir-23b.MIMAT0006612	865.735322
cfa-mir-24.MIMAT0006614	3960.836153
cfa-mir-2483.MIMAT0034421	12.617219
cfa-mir-25.MIMAT0006697	2193.454963
cfa-mir-26a.MIMAT0006595	58356.578133
cfa-mir-26b.MIMAT0006678	19452.839748
cfa-mir-27a.MIMAT0006641	2289.539937
cfa-mir-27b.MIMAT0006613	11996.063428
cfa-mir-28.MIMAT0006675	1710.118427
cfa-mir-299.MIMAT0009885	0.000000
cfa-mir-29a.MIMAT0006626	5518.577399
cfa-mir-29b.MIMAT0006625	369.781567
cfa-mir-29c.MIMAT0006705	49.498320
cfa-mir-300.MIMAT0009929	0.000000
cfa-mir-301a.MIMAT0009853	0.000000
cfa-mir-301b.MIMAT0009854	3.882221
cfa-mir-302a.MIMAT0009855	0.000000
cfa-mir-302b.MIMAT0009856	0.000000
cfa-mir-302c.MIMAT0009857	0.000000
cfa-mir-302d.MIMAT0009858	0.000000
cfa-mir-30a.MIMAT0006604	11925.212891
cfa-mir-30b.MIMAT0006617	1588.799015
cfa-mir-30c.MIMAT0006605	10767.340426
cfa-mir-30d.MIMAT0006616	16117.041204
cfa-mir-30e.MIMAT0006627	554.187073
cfa-mir-31.MIMAT0006599	249.432710
cfa-mir-32.MIMAT0006597	60.174428
cfa-mir-320.MIMAT0006658	1135.549693
cfa-mir-323.MIMAT0006718	0.000000
cfa-mir-324.MIMAT0009896	6.793887
cfa-mir-325.MIMAT0009897	0.000000
cfa-mir-326.MIMAT0009894	10.676108
cfa-mir-328.MIMAT0006688	49.498320
cfa-mir-329a.MIMAT0006719	0.000000
cfa-mir-329b.MIMAT0009899	0.970555
cfa-mir-330.MIMAT0009893	15.528885
cfa-mir-331.MIMAT0009895	30.087214
cfa-mir-335.MIMAT0006624	2.911666
cfa-mir-338.MIMAT0006739	2.911666
cfa-mir-339-1.MIMAT0011134	304.754362
cfa-mir-33a.MIMAT0006593	0.970555
cfa-mir-33b.MIMAT0009862	0.970555
cfa-mir-340.MIMAT0009892	717.240362
cfa-mir-342.MIMAT0006709	372.693233
cfa-mir-345.MIMAT0006710	0.970555
cfa-mir-346.MIMAT0009898	0.000000
cfa-mir-34a.MIMAT0006690	222.257162
cfa-mir-34b.MIMAT0009838	0.000000
cfa-mir-34c.MIMAT0006693	5.823332
cfa-mir-350.MIMAT0006704	16.499440
cfa-mir-361.MIMAT0006751	180.523285
cfa-mir-362.MIMAT0009886	147.524405
cfa-mir-363.MIMAT0006750	127.142743
cfa-mir-365.MIMAT0001540	1091.874705
cfa-mir-367.MIMAT0009859	0.000000
cfa-mir-369.MIMAT0006727	0.000000
cfa-mir-370.MIMAT0009889	0.000000
cfa-mir-371.MIMAT0007747	5.823332
cfa-mir-374a.MIMAT0006753	717.240362
cfa-mir-374b.MIMAT0006754	593.979840
cfa-mir-375.MIMAT0009871	1082.169152
cfa-mir-376a.MIMAT0006722	0.000000
cfa-mir-376b.MIMAT0009887	0.000000
cfa-mir-376c.MIMAT0009888	0.000000
cfa-mir-377.MIMAT0009890	0.000000
cfa-mir-378.MIMAT0006683	7675.151261
cfa-mir-379.MIMAT0006715	8.734998
cfa-mir-380.MIMAT0006717	0.000000
cfa-mir-381.MIMAT0009891	11.646664
cfa-mir-382.MIMAT0006724	0.000000
cfa-mir-383.MIMAT0006629	2.911666
cfa-mir-384.MIMAT0006752	0.000000
cfa-mir-3958.MIMAT0034388	1.941111
cfa-mir-409.MIMAT0006726	0.000000
cfa-mir-410.MIMAT0006728	0.000000
cfa-mir-411.MIMAT0006716	5.823332
cfa-mir-421.MIMAT0006755	22.322772
cfa-mir-423a.MIMAT0006742	1126.814696
cfa-mir-424.MIMAT0006745	18.440551
cfa-mir-425.MIMAT0006639	440.632103
cfa-mir-429.MIMAT0001539	126.172188
cfa-mir-432.MIMAT0009904	0.000000
cfa-mir-433.MIMAT0006712	0.000000
cfa-mir-448.MIMAT0001535	0.000000
cfa-mir-449a.MIMAT0001544	0.000000
cfa-mir-449b.MIMAT0034406	0.000000
cfa-mir-450a.MIMAT0001548	257.197153
cfa-mir-450b.MIMAT0006748	291.166588
cfa-mir-451.MIMAT0009870	2815.580906
cfa-mir-452.MIMAT0009900	34.939991
cfa-mir-454.MIMAT0009927	9.705553
cfa-mir-455.MIMAT0006603	1342.277971
cfa-mir-483.MIMAT0009901	12.617219
cfa-mir-485.MIMAT0006725	0.000000
cfa-mir-486.MIMAT0011132	507.600419
cfa-mir-486.MIMAT0032036	3.882221
cfa-mir-487a.MIMAT0009902	0.000000
cfa-mir-487b.MIMAT0006723	0.970555
cfa-mir-488.MIMAT0009903	0.000000
cfa-mir-489.MIMAT0009860	0.000000
cfa-mir-490.MIMAT0009875	6.793887
cfa-mir-491.MIMAT0006601	0.000000
cfa-mir-493.MIMAT0006711	0.000000
cfa-mir-494.MIMAT0009905	1.941111
cfa-mir-495.MIMAT0006721	0.000000
cfa-mir-496.MIMAT0009906	0.000000
cfa-mir-497.MIMAT0006691	288.254922
cfa-mir-499.MIMAT0006655	405.692113
cfa-mir-500.MIMAT0006759	230.021605
cfa-mir-502.MIMAT0006761	300.872141
cfa-mir-503.MIMAT0006746	29.116659
cfa-mir-504.MIMAT0009907	29.116659
cfa-mir-505.MIMAT0009908	17.469995
cfa-mir-506.MIMAT0034422	0.000000
cfa-mir-507a.MIMAT0034432	0.000000
cfa-mir-507b.MIMAT0034416	0.000000
cfa-mir-508a.MIMAT0034419	0.000000
cfa-mir-508b.MIMAT0034425	0.000000
cfa-mir-514.MIMAT0009877	0.000000
cfa-mir-532.MIMAT0006758	1213.194117
cfa-mir-539.MIMAT0009909	0.000000
cfa-mir-542.MIMAT0006747	62.115539
cfa-mir-543.MIMAT0006720	0.000000
cfa-mir-544.MIMAT0009910	0.000000
cfa-mir-545.MIMAT0009911	0.970555
cfa-mir-551a.MIMAT0009912	11.646664
cfa-mir-551b.MIMAT0009913	0.000000
cfa-mir-568.MIMAT0009914	0.000000
cfa-mir-574.MIMAT0006673	98.996640
cfa-mir-578.MIMAT0009915	0.000000
cfa-mir-582.MIMAT0009916	0.000000
cfa-mir-589.MIMAT0009917	0.000000
cfa-mir-590.MIMAT0006700	56.292207
cfa-mir-592.MIMAT0009918	0.970555
cfa-mir-599.MIMAT0009919	0.000000
cfa-mir-615.MIMAT0009920	0.000000
cfa-mir-628.MIMAT0009921	10.676108
cfa-mir-631.MIMAT0009922	0.000000
cfa-mir-632.MIMAT0009923	0.970555
cfa-mir-6516.MIMAT0034393	11.646664
cfa-mir-652.MIMAT0006743	127.142743
cfa-mir-6529.MIMAT0034278	6.793887
cfa-mir-653.MIMAT0009924	0.000000
cfa-mir-660.MIMAT0006760	59.203873
cfa-mir-664.MIMAT0006680	1.941111
cfa-mir-665.MIMAT0009934	0.000000
cfa-mir-671.MIMAT0009926	9.705553
cfa-mir-676.MIMAT0006762	4.852776
cfa-mir-7.MIMAT0006634	2220.630512
cfa-mir-708.MIMAT0006643	89.291087
cfa-mir-718.MIMAT0009939	0.000000
cfa-mir-7180.MIMAT0034382	2.911666
cfa-mir-758.MIMAT0009925	0.000000
cfa-mir-759.MIMAT0009938	0.000000
cfa-mir-761.MIMAT0009936	0.000000
cfa-mir-764.MIMAT0009937	0.000000
cfa-mir-769.MIMAT0034400	0.000000
cfa-mir-802.MIMAT0009928	40.763322
cfa-mir-872.MIMAT0009940	0.000000
cfa-mir-874.MIMAT0009930	37.851656
cfa-mir-875.MIMAT0009931	0.000000
cfa-mir-876.MIMAT0009932	0.000000
cfa-mir-8789.MIMAT0034279	0.000000
cfa-mir-8790.MIMAT0034280	0.000000
cfa-mir-8791a.MIMAT0034281	0.000000
cfa-mir-8791b.MIMAT0034430	0.000000
cfa-mir-8792.MIMAT0034282	0.000000
cfa-mir-8793.MIMAT0034283	0.000000
cfa-mir-8794.MIMAT0034284	0.000000
cfa-mir-8795.MIMAT0034285	0.000000
cfa-mir-8796.MIMAT0034286	0.000000
cfa-mir-8797.MIMAT0034287	0.000000
cfa-mir-8798.MIMAT0034288	0.000000
cfa-mir-8799a.MIMAT0034289	0.000000
cfa-mir-8799b.MIMAT0034316	0.000000
cfa-mir-8799c.MIMAT0034318	0.000000
cfa-mir-8799d.MIMAT0034341	0.000000
cfa-mir-8799e.MIMAT0034371	0.000000
cfa-mir-8799f.MIMAT0034372	0.000000
cfa-mir-8799g.MIMAT0034407	0.000000
cfa-mir-8800.MIMAT0034290	0.000000
cfa-mir-8801.MIMAT0034291	0.000000
cfa-mir-8802.MIMAT0034292	0.000000
cfa-mir-8803.MIMAT0034293	9.705553
